bin,lower,upper,count,accuracy,confidence,gap
0,0.0,0.1,0,0.0,0.0,0.0
1,0.1,0.2,0,0.0,0.0,0.0
2,0.2,0.30000000000000004,0,0.0,0.0,0.0
3,0.30000000000000004,0.4,0,0.0,0.0,0.0
4,0.4,0.5,0,0.0,0.0,0.0
5,0.5,0.6000000000000001,3872,0.5800619834710744,0.5479806230426574,0.03208136042841703
6,0.6000000000000001,0.7000000000000001,3197,0.6574913981857992,0.6493294533618287,0.00816194482397048
7,0.7000000000000001,0.8,3113,0.8062961773209123,0.749344758921561,0.05695141839935125
8,0.8,0.9,3036,0.878129117259552,0.8500248884220212,0.02810422883753083
9,0.9,1.0,5070,0.968836291913215,0.9562295240175559,0.012606767895659066
