budget,loss,cost,lambda,status,primal_feasible,dual_feasible,complementary_slackness,stationarity_residual,budget_slack,budget_tolerance,kkt_status
39744720.0,0.5323635422876343,39744720.00563493,8.541985676223105e-09,optimal,True,True,4.8133523038126116e-11,7.235834154073473e-11,0.005634933710098267,39.744730005634935,pass
45365185.45454545,0.5212327400542532,45365185.53727776,1.980405851762719e-09,optimal,True,True,1.638435408145501e-10,1.2690781758806224e-09,0.08273230493068695,45.365195537277756,pass
50985650.90909091,0.510101937337443,50985650.89531252,1.980405834640183e-09,optimal,True,True,2.728680097776226e-11,1.2303957852566327e-10,-0.013778388500213623,50.98566090909091,pass
56606116.36363636,0.49897113820162575,56606116.22616904,1.9804058651702113e-09,optimal,True,True,2.722410814167716e-10,3.1203712946847872e-09,-0.13746731728315353,56.60612636363636,pass
62226581.81818181,0.48784033235606733,62226581.804902725,1.9804058323746494e-09,optimal,True,True,2.629798300994323e-11,8.998213285593692e-11,-0.013279087841510773,62.22659181818182,pass
67847047.27272727,0.47670953023583834,67847047.27918132,1.9804057923343465e-09,optimal,True,True,1.2781639075264654e-11,1.6924975865251213e-09,0.006454050540924072,67.84705727918131,pass
73467512.72727272,0.46557873171019704,73467512.57406968,1.9804057450173846e-09,optimal,True,True,3.034041812858556e-10,4.69211081099985e-09,-0.15320304036140442,73.46752272727272,pass
79087978.18181819,0.454447926505068,79087977.98367581,1.9804042852541573e-09,optimal,True,True,3.9240201749646525e-10,6.171252719955334e-08,-0.1981423795223236,79.08798818181819,pass
84708443.63636363,0.45365286755229933,79489440.07614934,6.200418783091066e-17,optimal,True,True,3.2360007703771774e-10,5.106579048508308e-10,-5219003.560214281,84.70845363636363,pass
90328909.0909091,0.45365286723263204,79489440.02603082,1.3643210303437544e-17,optimal,True,True,1.4788515602973974e-10,2.3917529068384624e-10,-10839469.06487827,90.3289190909091,pass
95949374.54545453,0.4536528671138823,79489440.00760522,6.2295430957001296e-18,optimal,True,True,1.0253787155593525e-10,1.4651224677919572e-10,-16459934.537849307,95.94938454545454,pass
101569840.0,0.45365286706249186,79489439.99905275,3.836533053948686e-18,optimal,True,True,8.471218444804273e-11,1.0186473886619751e-10,-22080400.000947252,101.56985,pass
