bin,lower,upper,count,accuracy,confidence,gap
0,0.0,0.1,0,0.0,0.0,0.0
1,0.1,0.2,0,0.0,0.0,0.0
2,0.2,0.30000000000000004,0,0.0,0.0,0.0
3,0.30000000000000004,0.4,0,0.0,0.0,0.0
4,0.4,0.5,0,0.0,0.0,0.0
5,0.5,0.6000000000000001,13,0.46153846153846156,0.5491674909224877,0.08762902938402617
6,0.6000000000000001,0.7000000000000001,19,0.631578947368421,0.649459936116871,0.01788098874845001
7,0.7000000000000001,0.8,31,0.5483870967741935,0.7522837750373348,0.20389667826314128
8,0.8,0.9,50,0.76,0.8498213791847229,0.08982137918472288
9,0.9,1.0,2471,0.9874544718737354,0.9970411986582968,0.009586726784561406
