method,seed,round,client_id,update_norm,cosine_to_mean,distance_to_mean
cvar_0,43,1,1,0.44008830189704895,0.8847852349281311,0.20589153468608856
cvar_0,43,1,9,0.374796062707901,0.8452771902084351,0.20750246942043304
cvar_0,43,1,22,0.5835615396499634,0.7911805510520935,0.36820924282073975
cvar_0,43,1,24,0.47532710433006287,0.7361873984336853,0.3223891258239746
cvar_0,43,1,4,0.4117492735385895,0.8114415407180786,0.24347162246704102
cvar_0,43,1,14,0.4026328921318054,0.8922370672225952,0.1822049766778946
cvar_0,43,1,11,0.39101508259773254,0.8978819847106934,0.1733025759458542
cvar_0,43,1,21,0.4653324484825134,0.8570578098297119,0.2413432002067566
cvar_0,43,1,3,0.37094011902809143,0.8264988660812378,0.21856674551963806
cvar_0,43,1,26,0.46918168663978577,0.895330011844635,0.21463000774383545
cvar_0,43,2,19,0.5173761248588562,0.8656875491142273,0.2601383626461029
cvar_0,43,2,15,0.4680624008178711,0.8652827739715576,0.23535969853401184
cvar_0,43,2,29,0.5062645673751831,0.9103249311447144,0.21284934878349304
cvar_0,43,2,0,0.529205858707428,0.8239003419876099,0.30018118023872375
cvar_0,43,2,16,0.4846707582473755,0.8987905979156494,0.21281643211841583
cvar_0,43,2,13,0.5001740455627441,0.8206119537353516,0.2861402928829193
cvar_0,43,2,18,0.4965893030166626,0.8679455518722534,0.2467515468597412
cvar_0,43,2,11,0.434445321559906,0.9162992238998413,0.1758394092321396
cvar_0,43,2,27,0.46968114376068115,0.9017714858055115,0.20300360023975372
cvar_0,43,2,17,0.43545588850975037,0.8755122423171997,0.2146093100309372
cvar_0,43,3,28,0.4836210608482361,0.8230144381523132,0.2783474624156952
cvar_0,43,3,24,0.5108237862586975,0.756971001625061,0.33547651767730713
cvar_0,43,3,13,0.405652791261673,0.7328295707702637,0.2816121280193329
cvar_0,43,3,12,0.4014374017715454,0.8560318350791931,0.20773090422153473
cvar_0,43,3,5,0.3798581659793854,0.8045053482055664,0.23057414591312408
cvar_0,43,3,1,0.4098052382469177,0.8401599526405334,0.22242999076843262
