client_id,train_samples,test_samples,total_samples,label_entropy,dominant_class_ratio
1,347,0,347,2.531947129655006,0.2737752161383285
2,0,302,302,2.5789815899678654,0.19536423841059603
3,341,0,341,2.579851875739562,0.18181818181818182
4,0,317,317,2.579196125863468,0.1892744479495268
5,302,0,302,2.5788254019359154,0.18543046357615894
6,325,0,325,2.581924002866005,0.1753846153846154
7,308,0,308,2.581997746063124,0.18506493506493507
8,281,0,281,2.5729644769928464,0.19217081850533807
9,0,288,288,2.5812444883381533,0.18055555555555555
10,0,294,294,2.571071937741731,0.19727891156462585
11,316,0,316,2.5789582610382187,0.18670886075949367
12,0,320,320,2.577610499327709,0.190625
13,0,327,327,2.5786181542653077,0.18960244648318042
14,323,0,323,2.5785968325332562,0.18575851393188855
15,328,0,328,2.564229501519927,0.21951219512195122
16,366,0,366,2.5581795304014245,0.21311475409836064
17,368,0,368,2.559348787142171,0.21195652173913043
18,0,364,364,2.577202912042206,0.20054945054945056
19,360,0,360,2.524427168349852,0.23055555555555557
20,0,354,354,2.562364159978901,0.2062146892655367
21,408,0,408,2.520397855931285,0.22058823529411764
22,321,0,321,2.5424983708743865,0.22429906542056074
23,372,0,372,2.573397778894013,0.1935483870967742
24,0,381,381,2.57762649799157,0.1889763779527559
25,409,0,409,2.5793139905886338,0.18092909535452323
26,392,0,392,2.5640798778028326,0.1989795918367347
27,376,0,376,2.5538254944923806,0.2127659574468085
28,382,0,382,2.550913136054537,0.2094240837696335
29,344,0,344,2.5712231919428987,0.2005813953488372
30,383,0,383,2.582887502864466,0.18276762402088773
