client_id,test_samples,train_samples,accuracy,error_rate
1,87,260,1.0,0.0
2,76,226,0.9868421052631579,0.013157894736842105
3,86,255,1.0,0.0
4,80,237,0.9875,0.0125
5,76,226,0.881578947368421,0.11842105263157894
6,82,243,0.9634146341463414,0.036585365853658534
7,77,231,0.961038961038961,0.03896103896103896
8,71,210,0.971830985915493,0.028169014084507043
9,72,216,0.9444444444444444,0.05555555555555555
10,74,220,0.918918918918919,0.08108108108108109
11,79,237,0.9873417721518988,0.012658227848101266
12,80,240,0.9625,0.0375
13,82,245,1.0,0.0
14,81,242,0.9506172839506173,0.04938271604938271
15,82,246,0.9878048780487805,0.012195121951219513
16,92,274,0.9130434782608695,0.08695652173913043
17,92,276,0.9891304347826086,0.010869565217391304
18,91,273,0.989010989010989,0.01098901098901099
19,90,270,0.9888888888888889,0.011111111111111112
20,89,265,0.9775280898876404,0.02247191011235955
21,102,306,0.9607843137254902,0.0392156862745098
22,81,240,1.0,0.0
23,93,279,1.0,0.0
24,96,285,1.0,0.0
25,103,306,0.9514563106796117,0.04854368932038835
26,98,294,1.0,0.0
27,94,282,0.9893617021276596,0.010638297872340425
28,96,286,0.9479166666666666,0.052083333333333336
29,86,258,0.9418604651162791,0.05813953488372093
30,96,287,1.0,0.0
