evaluation,local_epochs,clients_per_round,lr,loss,accuracy,comm,fitness
1,2,17,0.007752287431245793,0.08029908812604844,0.9705035746097564,3287745600,32.95775508812605
2,2,4,0.07307597496932267,0.12288293379048507,0.9574649214744568,185660928,1.9794922137904851
3,4,5,0.0341294835344248,0.1539801906483869,0.9495745102564493,177280400,1.926784190648387
4,4,20,0.017694187991791427,0.08947644735841702,0.970166043440501,2630196480,26.39144124735842
5,1,7,0.03840831077073486,0.10586411006127795,0.9563303430875142,482847344,4.934337550061278
6,4,15,0.05295530675280175,0.09073589495771255,0.9703354636828104,1431136320,14.402099094957713
7,5,13,0.05617985562660402,0.10665497072817137,0.9647646168867747,921858080,9.32523577072817
8,7,8,0.06445935251407905,0.1683339364749069,0.9513509849707286,201132672,2.179660656474907
9,3,12,0.010955926634891547,0.09063447585018973,0.9653579652309418,1500759168,15.09822615585019
10,3,9,0.02996907580442587,0.09203884537176539,0.9677785396575928,1108163664,11.173675485371767
11,2,11,0.0029241294046572566,0.1172723075374961,0.960869042078654,2127364800,21.3909203075375
12,8,6,0.046523243914523324,0.16325572862600288,0.9490808983643849,185660928,2.019865008626003
13,5,19,0.05960473838386707,0.11364070285344496,0.9650480290253957,1028870976,10.402350462853445
14,5,5,0.04255291532888075,0.15949241149549684,0.9496341466903686,177280400,1.9322964114954968
15,6,16,0.07790608832673551,0.18007968829479068,0.9478507379690806,309434880,3.2744284882947907
16,6,10,0.019820194574740636,0.14115017286191384,0.9515813608964284,496385120,5.1050013728619135
17,7,18,0.0249287662768665,0.1057532321778126,0.9683799564838409,1705759776,17.16335099217781
18,7,14,0.07081152434799903,0.11015185086289421,0.9627467175324758,911543584,9.225587690862895
19,5,15,0.05733730257024845,0.10956230141843358,0.9634395857652028,889625280,9.005815101418435
20,7,9,0.06282399129606896,0.12785440776109075,0.9609595159689586,493161840,5.059472807761091
21,5,17,0.047328565827083564,0.09713472749572247,0.9714362939198812,1643872800,16.535862727495722
22,2,11,0.026060793523283124,0.09317285323825976,0.9659789144992829,1084956048,10.94273333323826
23,1,11,0.02790273961052163,0.09296166015168031,0.9655419409275054,1524611440,15.33907606015168
24,4,13,0.005309154923328868,0.10126239626357952,0.9608621180057526,1500114512,15.10240751626358
25,5,9,0.05617985562660402,0.12679974313359707,0.9604991873105367,498963744,5.1164371831335975
26,5,15,0.04800089047721443,0.11345063392460968,0.9617187798023223,889625280,9.00970343392461
27,5,7,0.01959081675599328,0.11845873780548573,0.9612111568450927,482847344,4.946932177805485
28,7,4,0.03661039299050146,0.187372563383542,0.9407446543375652,95409088,1.141463443383542
29,2,19,0.0029241294046572566,0.11779589280486107,0.956288743019104,3674539200,36.863187892804866
30,7,8,0.056689386976833726,0.15710529502636442,0.9540199677149455,201132672,2.1684320150263643
31,5,4,0.005576435389367314,0.12001595369850596,0.9566737353801728,309434880,3.214364753698506
32,5,5,0.04255291532888075,0.1567682553237925,0.9511109034220377,177280400,1.9295722553237926
33,7,10,0.04787929987550296,0.13854525218872973,0.9568966547648112,496385120,5.10239645218873
34,6,16,0.009684310146439747,0.10266693443991244,0.9665160516897837,1681262848,16.915295414439914
35,7,4,0.0249287662768665,0.14233777563398084,0.9546944499015808,175346432,1.8958020956339807
36,8,14,0.011891296242522297,0.11338331323737899,0.9622971534729003,1037896160,10.49234491323738
37,7,4,0.014926505514841766,0.1417444763860355,0.9555637141068777,175346432,1.8952087963860356
38,7,8,0.0502107738817351,0.15844592013551542,0.9519427676995595,201132672,2.1697726401355153
39,8,17,0.05861778809864403,0.09216600257204846,0.9712158401807149,1643872800,16.53089400257205
40,3,11,0.030383670884469936,0.10028708251193166,0.9643279413382212,936040512,9.46069220251193
41,3,15,0.061050968950870296,0.0814635756192729,0.9731197019418081,1518164880,15.263112375619272
42,5,11,0.03396325644744475,0.12864550299321612,0.9626593013604482,560206064,5.730706142993217
