group,metric,n,mean,std,ci95_low,ci95_high
fedavg_default,final_accuracy,10,0.9697082249323528,0.004035320642414963,0.9672071072858043,0.9722093425789012
fedavg_default,final_worst_client_accuracy,10,0.8912479877471924,0.017209095558432426,0.8805816798137102,0.9019142956806746
fedavg_default,final_loss,10,0.08410698606865481,0.009160399431658134,0.07842931167838829,0.08978466045892133
fedavg_default,total_comm_until_stop,10,1459501184.0,177646629.12058365,1349394662.532241,1569607705.467759
fedavg_default,stopped_round,10,226.4,27.556810007288174,209.32011220437585,243.47988779562417
cvar_0,final_accuracy,10,0.9695492551724116,0.004725650852578422,0.9666202664287222,0.972478243916101
cvar_0,final_worst_client_accuracy,10,0.8839218020439148,0.03320550059142054,0.8633408195517832,0.9045027845360464
cvar_0,final_loss,10,0.08447711740775657,0.00869015742891359,0.07909090203039983,0.08986333278511331
cvar_0,total_comm_until_stop,10,1440161504.0,176053915.65889272,1331042156.5632362,1549280851.4367638
cvar_0,stopped_round,10,223.4,27.30974592013302,206.4732441120902,240.3267558879098
cvar_0.5,final_accuracy,10,0.9701229937871296,0.004894774778613834,0.9670891809480723,0.973156806626187
cvar_0.5,final_worst_client_accuracy,10,0.8740041434764863,0.038471560239946946,0.8501592233987594,0.8978490635542131
cvar_0.5,final_loss,10,0.08603426357304365,0.01475846552969779,0.07688687186782969,0.09518165527825762
cvar_0.5,total_comm_until_stop,10,1458856528.0,296075029.244399,1275347323.6602006,1642365732.3397994
cvar_0.5,stopped_round,10,226.3,45.92760002922475,197.83377858271706,254.76622141728296
cvar_0.75,final_accuracy,10,0.967478945851326,0.011497054883644902,0.9603529974073352,0.9746048942953168
cvar_0.75,final_worst_client_accuracy,10,0.8739441156387329,0.04329352532313234,0.8471105106387149,0.9007777206387508
cvar_0.75,final_loss,10,0.09428243976319209,0.03850966050505469,0.07041390489649471,0.11815097462988947
cvar_0.75,total_comm_until_stop,10,1489800016.0,271069990.9015901,1321789094.9922519,1657810937.0077481
cvar_0.75,stopped_round,10,231.1,42.048781195178535,205.037895403479,257.162104596521
cvar_0.9,final_accuracy,10,0.9706693685054779,0.00436713729570117,0.9679625887664974,0.9733761482444584
cvar_0.9,final_worst_client_accuracy,10,0.8763839364051819,0.04583141039146405,0.8479773339430545,0.9047905388673092
cvar_0.9,final_loss,10,0.08216995305905585,0.011273389060185436,0.07518263412869129,0.0891572719894204
cvar_0.9,total_comm_until_stop,10,1557488896.0,405390165.63911164,1306225468.1673057,1808752323.8326943
cvar_0.9,stopped_round,10,241.6,62.88472699224263,202.62364240266214,280.57635759733785
cvar_0.95,final_accuracy,10,0.9708151392141977,0.004190632946304201,0.9682177580043773,0.9734125204240182
cvar_0.95,final_worst_client_accuracy,10,0.8788530707359314,0.0410874215082286,0.8533868230466504,0.9043193184252125
cvar_0.95,final_loss,10,0.08176179291273002,0.011061569442539429,0.07490576114155946,0.08861782468390057
cvar_0.95,total_comm_until_stop,10,1557488896.0,405390165.63911164,1306225468.1673057,1808752323.8326943
cvar_0.95,stopped_round,10,241.6,62.88472699224263,202.62364240266214,280.57635759733785
centralized,final_accuracy,10,0.9847031724452974,0.0020260919782896956,0.9834473876268206,0.9859589572637741
centralized,final_worst_client_accuracy,10,0.940667200088501,0.009812556322255795,0.9345853146696864,0.9467490855073156
centralized,final_loss,10,0.06211218518035214,0.005889276897390581,0.058461973541988003,0.06576239681871628
centralized,total_comm_until_stop,10,0.0,0.0,0.0,0.0
centralized,stopped_round,10,56.4,3.921450978627398,53.96945950226886,58.830540497731135
local_only,final_accuracy,1,0.9878011961778005,0.0,0.9878011961778005,0.9878011961778005
local_only,final_worst_client_accuracy,1,0.9444444179534912,0.0,0.9444444179534912,0.9444444179534912
local_only,final_loss,1,0.04100626725703478,0.0,0.04100626725703478,0.04100626725703478
local_only,total_comm_until_stop,1,0.0,0.0,0.0,0.0
local_only,stopped_round,1,50.0,0.0,50.0,50.0
grid_best_validated,final_accuracy,10,0.9725803562005362,0.0037496120719789413,0.9702563225605909,0.9749043898404814
grid_best_validated,final_worst_client_accuracy,10,0.8826504230499268,0.04866165923077557,0.852489614183054,0.9128112319167996
grid_best_validated,final_loss,10,0.08962470696753978,0.009678279855826357,0.08362604696486006,0.0956233669702195
grid_best_validated,total_comm_until_stop,10,1562001488.0,363010596.14667207,1337005189.4745908,1786997786.5254092
grid_best_validated,stopped_round,10,242.3,56.31074497820109,207.39823866908722,277.2017613309128
ga_best_validated,final_accuracy,10,0.9653745293617249,0.009991535794745047,0.9591817113165638,0.9715673474068859
ga_best_validated,final_worst_client_accuracy,10,0.8372886002063751,0.094306243934084,0.778836984638575,0.8957402157741752
ga_best_validated,final_loss,10,0.11779691132328782,0.03319336903756218,0.09722344804613911,0.13837037460043652
ga_best_validated,total_comm_until_stop,10,347340652.8,151864438.0284376,253214098.92873472,441467206.6712653
ga_best_validated,stopped_round,10,134.7,58.893595199780044,98.19737151625623,171.20262848374375
