method,seed,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,delta_accuracy,delta_worst_client_accuracy,delta_comm
fedavg_default,7,3,False,3,0.9371291597684225,0.9371291597684225,0.6919068058331808,0.5365853905677795,19339680,0.0,0.0,0.0
fedavg_default,11,3,False,3,0.9181319773197174,0.9181319773197174,0.6305698821942012,0.4444444477558136,19339680,0.0,0.0,0.0
cvar_0,7,3,False,3,0.925530876715978,0.925530876715978,0.7212721625963847,0.5308641791343689,19339680,0.029365356763203954,-0.0057212114334106445,0.0
cvar_0,11,3,False,3,0.9181319773197174,0.9181319773197174,0.6305698821942012,0.4444444477558136,19339680,0.0,0.0,0.0
cvar_0.5,7,3,False,3,0.931266971429189,0.931266971429189,0.7176864246527354,0.5185185074806213,19339680,0.025779618819554595,-0.018066883087158203,0.0
cvar_0.5,11,3,False,3,0.919284584124883,0.919284584124883,0.6360556294520696,0.4444444477558136,19339680,0.005485747257868434,0.0,0.0
cvar_0.75,7,3,False,3,0.9327574908733368,0.9327574908733368,0.7173102796077728,0.5432098507881165,19339680,0.025403473774592067,0.006624460220336914,0.0
cvar_0.75,11,3,False,3,0.9193653086821238,0.9193653086821238,0.6336490402619044,0.4444444477558136,19339680,0.0030791580677032027,0.0,0.0
cvar_0.9,7,3,False,3,0.9339559614658356,0.9339559614658356,0.7182194789250692,0.5432098507881165,19339680,0.02631267309188845,0.006624460220336914,0.0
cvar_0.9,11,3,False,3,0.919230169057846,0.919230169057846,0.6328919142484665,0.45679011940956116,19339680,0.0023220320542652884,0.012345671653747559,0.0
cvar_0.95,7,3,False,3,0.9339559614658356,0.9339559614658356,0.7182194789250692,0.5432098507881165,19339680,0.02631267309188845,0.006624460220336914,0.0
cvar_0.95,11,3,False,3,0.919230169057846,0.919230169057846,0.6328919142484665,0.45679011940956116,19339680,0.0023220320542652884,0.012345671653747559,0.0
centralized,7,3,False,2,0.13767571238180001,1.3523865123589833,0.8099152982234955,0.6770833134651184,0,0.11800849239031475,0.14049792289733887,-19339680.0
centralized,11,3,False,3,0.1315270334482193,0.1315270334482193,0.9476817588011424,0.8586956262588501,0,0.3171118766069412,0.4142511785030365,-19339680.0
local_only,7,50,False,,,0.04043694951881965,0.988461705048879,0.9444444179534912,0,0.2965548992156982,0.40785902738571167,-19339680.0
grid_best_validated,7,3,False,3,0.521414852142334,0.521414852142334,0.8495440264542897,0.6796116232872009,23207616,0.15763722062110896,0.1430262327194214,3867936.0
grid_best_validated,11,3,False,3,0.505087016026179,0.505087016026179,0.8272022902965546,0.6116504669189453,23207616,0.19663240810235338,0.1672060191631317,3867936.0
ga_best_validated,7,3,False,3,0.33644177665313085,0.33644177665313085,0.88465243379275,0.6666666865348816,7735872,0.1927456279595693,0.13008129596710205,-11603808.0
ga_best_validated,11,3,False,3,0.28336524615685144,0.28336524615685144,0.8942716181278229,0.5925925970077515,7735872,0.2637017359336217,0.14814814925193787,-11603808.0
