client_id,loss,accuracy,test_samples,train_samples
1,0.010969599708914757,1.0,87,260
2,0.06870362907648087,0.9736841917037964,76,226
3,0.015101169236004353,1.0,86,255
4,0.1157398596405983,0.949999988079071,80,237
5,0.03456297144293785,0.9868420958518982,76,226
6,0.09656965732574463,0.9756097793579102,82,243
7,0.01244539674371481,1.0,77,231
8,0.018328798934817314,1.0,71,210
9,0.2209586799144745,0.9444444179534912,72,216
10,0.01686343364417553,1.0,74,220
11,0.07808887958526611,0.9873417615890503,79,237
12,0.03344979137182236,0.987500011920929,80,240
13,0.02584279701113701,0.9878048896789551,82,245
14,0.009745936840772629,1.0,81,242
15,0.03266284987330437,0.9878048896789551,82,246
16,0.08469250798225403,0.967391312122345,92,274
17,0.044459275901317596,0.97826087474823,92,276
18,0.014627518132328987,1.0,91,273
19,0.01885794848203659,0.9888888597488403,90,270
20,0.023636968806385994,0.9887640476226807,89,265
21,0.04995787888765335,0.9803921580314636,102,306
22,0.016834009438753128,1.0,81,240
23,0.015559390187263489,0.9892473220825195,93,279
24,0.03996505215764046,0.9895833134651184,96,285
25,0.028478581458330154,0.9902912378311157,103,306
26,0.011336227878928185,1.0,98,294
27,0.022668790072202682,1.0,94,282
28,0.014052403159439564,1.0,96,286
29,0.025654640048742294,1.0,86,258
30,0.012293842621147633,1.0,96,287
