bin,lower,upper,count,accuracy,confidence,gap
0,0.0,0.1,0,0.0,0.0,0.0
1,0.1,0.2,0,0.0,0.0,0.0
2,0.2,0.30000000000000004,0,0.0,0.0,0.0
3,0.30000000000000004,0.4,3,0.3333333333333333,0.38001713156700134,0.04668379823366803
4,0.4,0.5,33,0.6060606060606061,0.4654449847611514,0.14061562129945465
5,0.5,0.6000000000000001,153,0.5424836601307189,0.5528369919926512,0.010353331861932324
6,0.6000000000000001,0.7000000000000001,156,0.6666666666666666,0.6506780401254312,0.01598862654123545
7,0.7000000000000001,0.8,208,0.7932692307692307,0.7553480602800846,0.03792117048914612
8,0.8,0.9,348,0.867816091954023,0.8578824697212241,0.009933622232798922
9,0.9,1.0,1683,0.972073677956031,0.968072410006645,0.004001267949385934
