method,seed,round,client_id,update_norm,cosine_to_mean,distance_to_mean
cvar_0.75,11,1,14,0.37586307525634766,0.887988269329071,0.17505814135074615
cvar_0.75,11,1,27,0.4329150319099426,0.8663996458053589,0.21660421788692474
cvar_0.75,11,1,17,0.37559056282043457,0.8769372701644897,0.18334810435771942
cvar_0.75,11,1,24,0.4290941059589386,0.7623863816261292,0.27979499101638794
cvar_0.75,11,1,29,0.4178207814693451,0.8367395997047424,0.22910915315151215
cvar_0.75,11,1,25,0.4911084473133087,0.8962926864624023,0.2315675914287567
cvar_0.75,11,1,16,0.4268047511577606,0.886070728302002,0.19854889810085297
cvar_0.75,11,1,18,0.5113890767097473,0.8435540199279785,0.28339341282844543
cvar_0.75,11,1,6,0.4160701632499695,0.8075224161148071,0.24673675000667572
cvar_0.75,11,1,5,0.41312509775161743,0.8021267652511597,0.248531773686409
cvar_0.75,11,2,25,0.5241180658340454,0.921248197555542,0.2117891162633896
cvar_0.75,11,2,16,0.4837123155593872,0.9085451364517212,0.20257450640201569
cvar_0.75,11,2,15,0.4755682945251465,0.8741880059242249,0.23113632202148438
cvar_0.75,11,2,20,0.5735167860984802,0.8986016511917114,0.26721450686454773
cvar_0.75,11,2,19,0.5107609629631042,0.9002424478530884,0.22501631081104279
cvar_0.75,11,2,5,0.4453605115413666,0.8904258012771606,0.20474886894226074
cvar_0.75,11,2,3,0.4307142496109009,0.8698273301124573,0.218490332365036
cvar_0.75,11,2,14,0.43037864565849304,0.9266351461410522,0.16399019956588745
cvar_0.75,11,2,9,0.4001603126525879,0.8547096252441406,0.22386272251605988
cvar_0.75,11,2,4,0.4469991624355316,0.9028082489967346,0.19347606599330902
cvar_0.75,11,3,2,0.3801051676273346,0.8926519155502319,0.1735655814409256
cvar_0.75,11,3,17,0.4125317633152008,0.8438607454299927,0.22215823829174042
cvar_0.75,11,3,25,0.45506006479263306,0.9061762094497681,0.1977088898420334
cvar_0.75,11,3,22,0.4663988947868347,0.843572199344635,0.2518506646156311
cvar_0.75,11,3,20,0.48306119441986084,0.8804749846458435,0.23631304502487183
cvar_0.75,11,3,1,0.40797892212867737,0.8149005174636841,0.2389831691980362
cvar_0.75,11,3,19,0.4253452718257904,0.8396091461181641,0.23125799000263214
cvar_0.75,11,3,12,0.3883313834667206,0.8892624974250793,0.17894694209098816
cvar_0.75,11,3,14,0.3656686246395111,0.8661196827888489,0.18958193063735962
cvar_0.75,11,3,27,0.40348806977272034,0.8624879121780396,0.20508408546447754
