budget,loss,cost,lambda,status,primal_feasible,dual_feasible,complementary_slackness,stationarity_residual,budget_slack,budget_tolerance,kkt_status
6446560.0,1.6787408707082172,6446560.000947128,2.4358149761527765e-06,optimal,True,True,2.307028688595691e-09,7.483791364393255e-11,0.0009471280500292778,6.446570000947127,pass
7970292.363636363,0.2833652468816327,7735872.033013705,3.055317500919281e-16,optimal,True,True,7.162285387226915e-11,3.185351982182283e-11,-234420.33062265813,7.970302363636362,pass
9494024.727272727,0.28336525525533324,7735872.312060446,5.331676360180849e-16,optimal,True,True,9.373899669782183e-10,4.123630881203155e-10,-1758152.415212281,9.494034727272727,pass
11017757.09090909,0.28336524958024634,7735872.117723778,5.551588159199317e-17,optimal,True,True,1.8219673756989746e-10,9.604383954808782e-11,-3281884.973185312,11.01776709090909,pass
12541489.454545453,0.2833652473958892,7735872.017414072,2.6064569622992604e-16,optimal,True,True,1.2525635027157818e-09,2.2337992566789922e-10,-4805617.437131382,12.541499454545452,pass
14065221.818181816,0.28336524828432813,7735872.074658271,1.3467161714013416e-16,optimal,True,True,8.523837654058093e-10,7.123939771425114e-10,-6329349.743523546,14.065231818181816,pass
15588954.181818182,0.28336524871538676,7735872.087506636,1.2318479035504515e-16,optimal,True,True,9.673802714287266e-10,1.1044937742177297e-09,-7853082.094311546,15.58896418181818,pass
17112686.545454547,0.28336524924295786,7735872.110655998,1.1678004415689398e-16,optimal,True,True,1.0950248037467755e-09,1.0668048666673258e-09,-9376814.43479855,17.112696545454547,pass
18636418.909090906,0.2833652490513914,7735872.0996179525,1.2181613538124682e-16,optimal,True,True,1.3278624858723755e-09,5.848524997631444e-10,-10900546.809472954,18.636428909090906,pass
20160151.272727273,0.28336524925557516,7735872.0897921845,1.6268711346962063e-16,optimal,True,True,2.0212701172124064e-09,7.767624876642287e-10,-12424279.182935089,20.160161272727272,pass
21683883.636363633,0.28336524971381033,7735872.09623093,1.8205916949271315e-16,optimal,True,True,2.539363397071339e-09,9.971911074657669e-10,-13948011.540132703,21.68389363636363,pass
23207616.0,0.28336525028928367,7735872.110722682,1.9192353180651632e-16,optimal,True,True,2.96939173043599e-09,1.2419140715813626e-09,-15471743.889277317,23.207625999999998,pass
