method,n,final_loss_mean,final_loss_std,final_accuracy_mean,final_accuracy_std,final_worst_client_accuracy_mean,final_worst_client_accuracy_std,total_comm_until_stop_mean,total_comm_until_stop_std,stopped_round_mean,stopped_round_std
fedavg_default,2,0.92763056854407,0.01343303653291742,0.661238344013691,0.04337175464224391,0.49051491916179657,0.06515348548726299,19339680.0,0.0,3.0,0.0
cvar_0,2,0.9218314270178477,0.005231811936412919,0.675921022395293,0.06413619754146767,0.48765431344509125,0.06110797808609632,19339680.0,0.0,3.0,0.0
cvar_0.5,2,0.925275777777036,0.008472827317678374,0.6768710270524025,0.05772168884004102,0.48148147761821747,0.05237826994142888,19339680.0,0.0,3.0,0.0
cvar_0.75,2,0.9260613997777303,0.009469702842292404,0.6754796599348386,0.05915742966393438,0.493827149271965,0.06983768623076375,19339680.0,0.0,3.0,0.0
cvar_0.9,2,0.9265930652618408,0.010412707670034787,0.6755556965867678,0.06033569960495952,0.4999999850988388,0.06110797808609632,19339680.0,0.0,3.0,0.0
cvar_0.95,2,0.9265930652618408,0.010412707670034787,0.6755556965867678,0.06033569960495952,0.4999999850988388,0.06110797808609632,19339680.0,0.0,3.0,0.0
centralized,2,0.7419567729036013,0.863278016413676,0.878798528512319,0.09741559849452326,0.7678894698619843,0.12841929792342005,0.0,0.0,3.0,0.0
local_only,1,0.04043694951881965,0.0,0.988461705048879,0.0,0.9444444179534912,0.0,0.0,0.0,50.0,0.0
grid_best_validated,2,0.5132509340842565,0.011545523639835792,0.8383731583754221,0.015797993140615214,0.6456310451030731,0.048055794525272866,23207616.0,0.0,3.0,0.0
ga_best_validated,2,0.30990351140499117,0.03753077463577377,0.8894620259602865,0.006801790472813392,0.6296296417713165,0.05237829101485313,7735872.0,0.0,3.0,0.0
