lr,local_epochs,clients_per_round,mean_loss,std_loss,mean_comm_bytes
0.001,2,3,0.315559,0.005353,247177824.0
0.001,2,5,0.377764,0.100682,294836293.0
0.001,2,7,0.303954,0.004406,435388389.0
0.001,2,9,0.301736,0.012061,537975264.0
0.001,5,3,0.473477,0.11567,189018336.0
0.001,5,5,0.36905,0.009974,222136933.0
0.001,5,7,0.37789,0.034832,282719733.0
0.001,5,9,0.390996,0.006156,421656288.0
0.005,2,3,0.474129,0.116805,242331200.0
0.005,2,5,0.336512,0.03131,521012080.0
0.005,2,7,0.338252,0.05368,514549915.0
0.005,2,9,0.364488,0.028025,872392320.0
0.005,5,3,0.475404,0.049746,232637952.0
0.005,5,5,0.423356,0.039864,238292347.0
0.005,5,7,0.395294,0.048218,474969152.0
0.005,5,9,0.421516,0.035498,545245200.0
0.01,2,3,0.369963,0.02532,186595024.0
0.01,2,5,0.358551,0.014683,440235013.0
0.01,2,7,0.423624,0.075249,452351573.0
0.01,2,9,0.380166,0.06031,697913856.0
0.01,5,3,0.497537,0.215398,227791328.0
0.01,5,5,0.599135,0.080574,327147120.0
0.01,5,7,0.503803,0.060827,497586731.0
0.01,5,9,0.49156,0.070659,552515136.0
0.05,2,3,0.717674,0.066915,193864960.0
0.05,2,5,0.760045,0.151265,258486613.0
0.05,2,7,0.633237,0.115493,367535653.0
0.05,2,9,0.599415,0.074588,527070360.0
0.05,5,3,0.642792,0.131213,155091968.0
0.05,5,5,0.728947,0.035695,250408907.0
0.05,5,7,0.585763,0.05417,339263680.0
0.05,5,9,0.647503,0.022992,356226864.0
