budget,loss,cost,lambda,status
155091968.0,0.6427919895935209,155091973.07614213,1.404183720060806e-08,optimal
206327707.42857143,0.35224284048415605,206327709.78800887,8.980106439520881e-10,optimal
257563446.85714287,0.31491862848816976,257563443.50234196,6.165968242302371e-11,optimal
308799186.28571427,0.3117594479288161,308799186.48493695,6.165966447336036e-11,optimal
360034925.71428573,0.3086002698021375,360034926.0648704,6.165966144039494e-11,optimal
411270665.14285713,0.30544109842229866,411270652.8964516,6.165965480929401e-11,optimal
462506404.57142854,0.303367693990533,462506403.23051786,2.162069868136861e-11,optimal
513742144.0,0.302259939196221,513742140.7854637,2.1620700128949757e-11,optimal
564977883.4285715,0.3017360055208133,537975257.3620209,3.3750559049635347e-17,optimal
616213622.8571428,0.30173600262977107,537975257.5753688,4.602856724838551e-18,optimal
667449362.2857143,0.30173600155776736,537975260.3964468,1.2132735801529526e-18,optimal
718685101.7142857,0.30173600206635004,537975257.1066732,1.3047286581506824e-18,optimal
769920841.1428571,0.30173600191047056,537975257.3572444,1.2561941200397084e-18,optimal
821156580.5714285,0.30173600168802694,537975257.8330457,1.3377655592317956e-18,optimal
872392320.0,0.30173600142256596,537975258.4755976,1.4144520178332787e-18,optimal
