method,alpha,seed,k_clients,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc
cvar_0.5,0.5,7,30,35,True,20,0.3916173135240873,0.43447968910137813,0.8014605859915416,0.3814432919025421,1696318400,0.8636776858831394,0.5716881950493785,0.6975591161952867,0.4316546762589928,0.9634635561315805,0.0,0.0
cvar_0.5,0.5,11,30,27,True,12,0.36843827068805696,0.8804499583939711,0.7905184696118037,0.2863849699497223,1308588480,0.8574348741706505,0.5680951329019197,0.6219017972069298,0.2508393285371703,0.9929642658766895,0.0,0.0033003300330033004
cvar_0.5,0.5,13,30,35,True,20,0.3880374322334925,0.514013143380483,0.8154539038737615,0.46666666865348816,1696318400,0.8864932049916445,0.6185250109635095,0.7490752889264223,0.5544364508393286,0.943714127013516,0.0,0.0
cvar_0.75,0.75,7,30,17,True,2,0.3985497315724691,0.4424650013446808,0.8067854543526968,0.46666666865348816,823926080,0.8840785175969574,0.5968392632076872,0.7253536404351801,0.5098321342925659,0.9408751465777943,0.0,0.0
cvar_0.75,0.75,11,30,43,True,28,0.372878922522068,1.283803714811802,0.7937355359395345,0.2982456088066101,2084048320,0.8543711818177379,0.5586320230358515,0.637409050726462,0.2853717026378897,0.9894463988150343,0.0,0.002702702702702703
cvar_0.75,0.75,13,30,35,True,20,0.38498252679904305,0.4270743524034818,0.806276050209999,0.46666666865348816,1696318400,0.8841433426115984,0.6038757029724123,0.7283204948723857,0.5074340527577937,0.9492069369869777,0.0,0.0
cvar_0.9,0.9,7,30,30,True,15,0.38671189844608306,0.6041720107197761,0.7721902718146642,0.27835050225257874,1453987200,0.8527057561504952,0.5361167598947224,0.6360397776946005,0.2882494004796163,0.9838301549095847,0.0,0.0
cvar_0.9,0.9,11,30,31,True,16,0.36083952387173973,0.40825859010219573,0.8068554669618606,0.3488371968269348,1502453440,0.8604603079247396,0.5798005191512685,0.6626514230200731,0.3419664268585132,0.9833364191816331,0.0,0.003703703703703704
cvar_0.9,0.9,13,30,30,True,15,0.38608688016732534,0.43112129320700965,0.8122354368368785,0.4625850319862366,1453987200,0.878719708920884,0.6051694643841615,0.7202535546086367,0.48105515587529973,0.9594519533419738,0.0,0.0
cvar_0.95,0.95,7,30,26,True,11,0.39142423967520396,0.3949347754319509,0.8131974865992864,0.46666666865348816,1260122240,0.8797600024035575,0.5977412822572777,0.7366361234286039,0.5294964028776978,0.94377584397951,0.0,0.0
cvar_0.95,0.95,11,30,27,True,12,0.36088680028915404,1.1035059561332068,0.7893629799286525,0.2631579041481018,1308588480,0.8541263119850352,0.5581774673373016,0.6230558600703218,0.2541966426858513,0.9919150774547923,0.0,0.003355704697986577
cvar_0.95,0.95,13,30,30,True,20,0.38526080499092735,0.4728709772229195,0.8120525846878688,0.4625850319862366,1453987200,0.878998796889169,0.6045912056446363,0.7142293127172027,0.46474820143884893,0.9637104239955564,0.0,0.0
fedprox_0p1,0.0,7,30,32,True,17,0.35500844319661456,0.36942769040664036,0.8461692114671071,0.7153846025466919,1550919680,0.905428562167855,0.654438823581499,0.8113577865720754,0.7256594724220623,0.8970561007220885,0.0,0.0
fedprox_0p1,0.0,11,30,29,True,14,0.35109884291887283,0.40015006537238756,0.8100764612356822,0.3488371968269348,1405520960,0.906346738939158,0.6331616371265518,0.659621253191855,0.33189448441247005,0.9873480219712399,0.0,0.010526315789473684
fedprox_0p1,0.0,13,30,42,True,27,0.3554258540272713,0.41301131596167884,0.8308581779400508,0.46666666865348816,2035582080,0.9099683260242388,0.6640772983123767,0.7935188305567359,0.6671462829736211,0.9198913781398507,0.0,0.0
