method,beta,seed,mu,k_clients,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc
fedavg,0.5,7,0.0,9,24,True,9,0.3592163754834069,3.514675953735908,0.7362287822696898,0.20000000298023224,290797440,0.8455294642271741,0.5260762195331516,0.6152797443585587,0.23741007194244604,0.9931494167746714,0.1437908496732026,0.0
fedprox_0p1,0.5,7,0.1,9,22,True,7,0.36475956439971924,0.4028411391708586,0.8522765570216708,0.6444885730743408,266564320,0.9046802476552364,0.6464966604346598,0.7852332612710053,0.6388489208633094,0.9316176016787014,0.47368421052631576,0.0
fedavg,0.5,11,0.0,9,19,True,4,0.35932011405626935,0.5173437827163272,0.7894745800230238,0.71875,230214640,0.9019126783372413,0.6499776508702131,0.814377522236978,0.8580335731414868,0.7707214713324693,0.6470588235294118,0.31997080703805086
fedprox_0p1,0.5,11,0.1,9,42,True,27,0.34100953572326237,0.36050983932283187,0.8286724156803555,0.7890625,508895520,0.9121235949585083,0.6613392564211401,0.8255894969268059,0.8091127098321343,0.8420662840214775,0.6176470588235294,0.33845570589401136
fedavg,0.5,13,0.0,9,24,True,9,0.3705454137590196,0.39435051878293353,0.8102352751625909,0.7002236843109131,290797440,0.8957570991901167,0.6405836437322636,0.7777885079457263,0.6330935251798561,0.9224834907115966,0.5,0.24978892663144456
fedprox_0p1,0.5,13,0.1,9,41,True,26,0.3523623545964559,0.42173663278420764,0.8092894223001268,0.692307710647583,496778960,0.9116151033995984,0.6628299544257036,0.7836118810931629,0.6378896882494005,0.9293340739369252,0.5,0.25562076456848626
fedavg,1.0,7,0.0,9,38,True,23,0.3421781443887287,0.38591982920964557,0.8598589963383145,0.7136363387107849,460429280,0.8619295565214188,0.5963916848820439,0.7488804586769392,0.5529976019184653,0.9447633154354131,0.5056179775280899,0.41279709677920623
fedprox_0p1,1.0,7,0.1,9,35,True,20,0.30518748031722176,0.33418338497479755,0.8431960476769341,0.7727272510528564,424079600,0.9093785071923947,0.6566684663995784,0.8191423384158809,0.7712230215827338,0.867061655249028,0.7303370786516854,0.4864587311608346
fedavg,1.0,11,0.0,9,26,True,11,0.3033113115363651,0.36044495635562473,0.8748469882541232,0.75,315030560,0.8939007801350106,0.6309644437341069,0.7650056810689201,0.5937649880095923,0.9362463741282478,0.4,0.015565598435739174
fedprox_0p1,1.0,11,0.1,9,42,True,27,0.26975156863530475,0.2937973555591371,0.8559913105434842,0.8304139971733093,508895520,0.9139383993638269,0.6696520135741614,0.8237860294989336,0.7764988009592326,0.8710732580386348,0.6363636363636364,0.050976091945254945
fedavg,1.0,13,0.0,9,28,True,13,0.3521270089679294,0.3803994490040673,0.846372299724155,0.5905172228813171,339263680,0.8816177718813656,0.6127882356233597,0.7546251537929072,0.573621103117506,0.9356292044683083,0.3548387096774194,0.30026880072646855
fedprox_0p1,1.0,13,0.1,9,60,True,45,0.3154805650313695,0.3361434257692761,0.8579545484648811,0.6293103694915771,726993600,0.9049823351835101,0.6500382192119687,0.7769775292522878,0.6211031175059952,0.9328519409985805,0.4838709677419355,0.31167745857896567
fedavg,3.0,7,0.0,9,42,True,27,0.32357441385587055,0.3538912766509586,0.8747301896413168,0.8121547102928162,508895520,0.8919115994003537,0.6270886175933001,0.7846687064345931,0.660431654676259,0.9089057581929272,0.6370967741935484,0.38688162628151124
fedprox_0p1,3.0,7,0.1,9,29,True,14,0.30026999447080827,0.3027179141839345,0.8472468323177762,0.8139534592628479,351380240,0.9137666130750278,0.6691147010646825,0.8279833603955569,0.7995203836930456,0.8564463370980683,0.7671840354767184,0.4386111257324856
fedavg,3.0,11,0.0,9,28,True,13,0.36802717049916583,0.38955477873484295,0.8685828977160983,0.8223684430122375,339263680,0.8998760776603675,0.6487358377563468,0.8032210484158497,0.7103117505995203,0.8961303462321792,0.6597938144329897,0.4797767674099569
fedprox_0p1,3.0,11,0.1,9,63,True,48,0.2944800357023875,0.3705125086837345,0.8174613581763374,0.8011485934257507,763343280,0.9142781386814265,0.6709277923877858,0.8357818096568848,0.8609112709832134,0.8106523483305561,0.8394648829431438,0.46999461768297895
fedavg,3.0,13,0.0,9,33,True,18,0.3242715133561028,0.40291881892416215,0.8622095121277703,0.8249694108963013,399846480,0.8961537601986547,0.6314132322207884,0.7917887130769371,0.6882494004796164,0.8953280256742578,0.5960264900662252,0.4096454473804314
fedprox_0p1,3.0,13,0.1,9,33,True,18,0.288074822889434,0.33091869950294495,0.8357259432474772,0.8294243216514587,399846480,0.9118262731048266,0.66542075395181,0.8277054120451093,0.8163069544364508,0.8391038696537678,0.7682119205298014,0.44867805135270133
