base_method,seed,client_id,fine_tune_epochs,stopped_epoch,val_loss,val_auprc,test_auprc,test_recall,test_balanced_acc
fedprox_0p1,7,0,1,,0.096082,0.6579,0.5207,0.2358,0.6166
fedprox_0p1,7,0,2,,0.093154,0.67,0.5065,0.2683,0.6323
fedprox_0p1,7,0,3,,0.107809,0.6531,0.5271,0.4309,0.7091
fedprox_0p1,7,0,4,,0.130974,0.627,0.5203,0.4553,0.721
fedprox_0p1,7,0,5,5,0.189916,0.6096,0.4827,0.4228,0.7027
fedprox_0p1,7,1,1,,0.227859,0.7491,0.7069,0.5356,0.7501
fedprox_0p1,7,1,2,,0.227707,0.746,0.7176,0.5618,0.7649
fedprox_0p1,7,1,3,,0.252048,0.7343,0.6971,0.4682,0.7231
fedprox_0p1,7,1,4,,0.311159,0.7207,0.6655,0.5655,0.7596
fedprox_0p1,7,1,5,5,0.30378,0.7064,0.6572,0.5243,0.7426
fedprox_0p1,7,2,1,,0.261608,0.7129,0.7048,0.4992,0.7351
fedprox_0p1,7,2,2,,0.284329,0.7017,0.6925,0.4312,0.706
fedprox_0p1,7,2,3,,0.320666,0.6714,0.6797,0.4907,0.7275
fedprox_0p1,7,2,4,4,0.365104,0.6694,0.6585,0.4805,0.7204
fedprox_0p1,7,3,1,,0.265679,0.6804,0.6258,0.3926,0.6815
fedprox_0p1,7,3,2,,0.277324,0.6971,0.6296,0.4078,0.6873
fedprox_0p1,7,3,3,,0.276206,0.6878,0.6195,0.4577,0.7056
fedprox_0p1,7,3,4,4,0.298386,0.6719,0.5889,0.4382,0.6952
fedprox_0p1,7,4,1,,0.063642,0.6233,0.325,0.2,0.598
fedprox_0p1,7,4,2,,0.0557,0.6618,0.3166,0.2,0.596
fedprox_0p1,7,4,3,,0.067025,0.5272,0.2473,0.2,0.596
fedprox_0p1,7,4,4,,0.06607,0.5185,0.1569,0.0,0.497
fedprox_0p1,7,4,5,,0.066486,0.6053,0.1651,0.1,0.547
fedprox_0p1,7,4,6,,0.10401,0.532,0.1273,0.0,0.496
fedprox_0p1,7,4,7,,0.142679,0.4779,0.1071,0.0,0.496
fedprox_0p1,7,4,8,,0.110744,0.5595,0.1406,0.0,0.496
fedprox_0p1,7,4,9,,0.126958,0.5166,0.1003,0.0,0.4949
fedprox_0p1,7,4,10,,0.129343,0.4979,0.1029,0.0,0.496
fedprox_0p1,7,4,11,,0.094509,0.5579,0.1155,0.0,0.497
fedprox_0p1,7,4,12,,0.10251,0.4748,0.0879,0.0,0.497
fedprox_0p1,7,4,13,,0.092814,0.5448,0.1049,0.0,0.4949
fedprox_0p1,7,4,14,,0.105185,0.5946,0.1159,0.0,0.4949
fedprox_0p1,7,4,15,,0.109401,0.595,0.1148,0.0,0.4949
fedprox_0p1,7,4,16,,0.110725,0.5954,0.1174,0.0,0.4949
fedprox_0p1,7,4,17,,0.114436,0.5954,0.1147,0.0,0.4949
fedprox_0p1,7,4,18,,0.117639,0.595,0.1154,0.0,0.4949
fedprox_0p1,7,4,19,,0.120166,0.595,0.1167,0.0,0.4949
fedprox_0p1,7,4,20,N/A (fixed-20),0.123936,0.595,0.1161,0.0,0.4949
fedprox_0p1,7,5,1,,0.050243,0.5444,0.5991,0.2,0.598
fedprox_0p1,7,5,2,,0.057739,0.4755,0.4968,0.0,0.498
fedprox_0p1,7,5,3,,0.063692,0.4466,0.4015,0.0,0.498
fedprox_0p1,7,5,4,,0.073486,0.4178,0.4215,0.2,0.594
fedprox_0p1,7,5,5,,0.102206,0.4246,0.2954,0.0,0.498
fedprox_0p1,7,5,6,,0.094509,0.3958,0.2547,0.0,0.494
fedprox_0p1,7,5,7,,0.111227,0.3925,0.2033,0.0,0.492
fedprox_0p1,7,5,8,,0.135512,0.3904,0.1714,0.0,0.492
fedprox_0p1,7,5,9,,0.153766,0.3914,0.1448,0.0,0.492
fedprox_0p1,7,5,10,,0.165988,0.386,0.1541,0.0,0.492
fedprox_0p1,7,5,11,,0.202312,0.3814,0.1811,0.4,0.686
fedprox_0p1,7,5,12,,0.202335,0.3875,0.1784,0.2,0.592
fedprox_0p1,7,5,13,,0.211079,0.3899,0.1784,0.2,0.592
fedprox_0p1,7,5,14,,0.216549,0.3899,0.187,0.0,0.492
fedprox_0p1,7,5,15,,0.219689,0.3899,0.1798,0.0,0.492
fedprox_0p1,7,5,16,,0.221725,0.3899,0.1772,0.2,0.592
fedprox_0p1,7,5,17,,0.227271,0.3877,0.1754,0.0,0.492
fedprox_0p1,7,5,18,,0.230342,0.3877,0.1766,0.0,0.492
fedprox_0p1,7,5,19,,0.233478,0.3877,0.1766,0.0,0.492
fedprox_0p1,7,5,20,N/A (fixed-20),0.235641,0.3877,0.1766,0.0,0.492
fedprox_0p1,7,6,1,,0.27146,0.7343,0.7433,0.4722,0.7225
fedprox_0p1,7,6,2,,0.269301,0.7591,0.7459,0.5556,0.756
fedprox_0p1,7,6,3,,0.301158,0.762,0.7238,0.5,0.7391
fedprox_0p1,7,6,4,,0.293481,0.7725,0.7364,0.5694,0.7575
fedprox_0p1,7,6,5,,0.414002,0.6696,0.6555,0.5,0.731
fedprox_0p1,7,6,6,,0.451576,0.7389,0.692,0.625,0.7717
fedprox_0p1,7,6,7,,0.593261,0.6733,0.6309,0.5,0.7242
fedprox_0p1,7,6,8,,0.687595,0.6774,0.6576,0.5417,0.7328
fedprox_0p1,7,6,9,,0.714528,0.6718,0.6702,0.6389,0.78
fedprox_0p1,7,6,10,,0.612223,0.7041,0.7096,0.6806,0.7941
fedprox_0p1,7,6,11,,0.654641,0.693,0.7008,0.6111,0.7662
fedprox_0p1,7,6,12,,0.728493,0.6821,0.6997,0.6111,0.777
fedprox_0p1,7,6,13,,0.783944,0.6871,0.6803,0.5556,0.7506
fedprox_0p1,7,6,14,,0.869648,0.6663,0.6808,0.5694,0.7508
fedprox_0p1,7,6,15,,0.790945,0.711,0.6713,0.6111,0.7729
fedprox_0p1,7,6,16,,0.819293,0.6965,0.671,0.5833,0.7577
fedprox_0p1,7,6,17,,0.84334,0.6805,0.656,0.5139,0.7325
fedprox_0p1,7,6,18,,0.813744,0.6842,0.6816,0.5694,0.7535
fedprox_0p1,7,6,19,,0.921701,0.6717,0.663,0.5139,0.7352
fedprox_0p1,7,6,20,N/A (fixed-20),0.911344,0.6765,0.6836,0.5556,0.7479
fedprox_0p1,7,7,1,,0.198291,0.7142,0.6567,0.3784,0.6827
fedprox_0p1,7,7,2,,0.192494,0.7324,0.6425,0.4264,0.7021
fedprox_0p1,7,7,3,,0.224983,0.7028,0.6387,0.5015,0.7323
fedprox_0p1,7,7,4,,0.265878,0.6765,0.6431,0.5886,0.7639
fedprox_0p1,7,7,5,5,0.323595,0.6682,0.6122,0.4444,0.7066
fedprox_0p1,7,8,1,,0.18771,0.6581,0.6901,0.4667,0.7235
fedprox_0p1,7,8,2,,0.197565,0.6284,0.6619,0.4578,0.715
fedprox_0p1,7,8,3,,0.244275,0.6053,0.6613,0.6178,0.7834
fedprox_0p1,7,8,4,4,0.330986,0.5837,0.6182,0.4711,0.7201
fedprox_0p1,11,0,1,,0.117167,0.5076,0.5193,0.3984,0.695
fedprox_0p1,11,0,2,,0.123199,0.421,0.5042,0.3008,0.6479
fedprox_0p1,11,0,3,,0.153461,0.4149,0.5099,0.4146,0.6992
fedprox_0p1,11,0,4,4,0.171299,0.3452,0.4682,0.2764,0.6351
fedprox_0p1,11,1,1,,0.224085,0.6601,0.7008,0.5206,0.7429
fedprox_0p1,11,1,2,,0.23962,0.6332,0.6847,0.5993,0.7787
fedprox_0p1,11,1,3,,0.290926,0.6294,0.6765,0.5318,0.748
fedprox_0p1,11,1,4,4,0.322798,0.6247,0.6662,0.5768,0.7652
fedprox_0p1,11,2,1,,0.247969,0.7247,0.6988,0.4499,0.7132
fedprox_0p1,11,2,2,,0.254986,0.716,0.691,0.5229,0.7414
fedprox_0p1,11,2,3,,0.264447,0.6983,0.6836,0.5195,0.7374
fedprox_0p1,11,2,4,4,0.336147,0.6814,0.6661,0.4924,0.7251
fedprox_0p1,11,3,1,,0.228869,0.7258,0.6357,0.4208,0.6904
fedprox_0p1,11,3,2,,0.244275,0.695,0.6452,0.4013,0.6881
fedprox_0p1,11,3,3,,0.268593,0.6742,0.5853,0.4338,0.6957
fedprox_0p1,11,3,4,4,0.29248,0.6807,0.6057,0.5163,0.7291
fedprox_0p1,11,4,1,,0.082486,0.4179,0.2507,0.1,0.548
fedprox_0p1,11,4,2,,0.092282,0.42,0.2181,0.0,0.498
fedprox_0p1,11,4,3,,0.090878,0.473,0.1574,0.0,0.498
fedprox_0p1,11,4,4,,0.131187,0.4218,0.1439,0.0,0.498
fedprox_0p1,11,4,5,,0.157802,0.3951,0.1223,0.0,0.497
fedprox_0p1,11,4,6,,0.170205,0.3125,0.0671,0.0,0.497
fedprox_0p1,11,4,7,,0.212596,0.3386,0.087,0.0,0.498
fedprox_0p1,11,4,8,,0.143881,0.365,0.0839,0.0,0.496
fedprox_0p1,11,4,9,,0.156012,0.3761,0.0822,0.0,0.4939
fedprox_0p1,11,4,10,,0.232315,0.3872,0.0911,0.0,0.498
fedprox_0p1,11,4,11,,0.184183,0.4197,0.0848,0.0,0.4949
fedprox_0p1,11,4,12,,0.21847,0.4014,0.0938,0.0,0.496
fedprox_0p1,11,4,13,,0.242442,0.3993,0.0932,0.0,0.496
fedprox_0p1,11,4,14,,0.23741,0.3705,0.0869,0.0,0.4949
fedprox_0p1,11,4,15,,0.268394,0.3204,0.0746,0.0,0.497
fedprox_0p1,11,4,16,,0.269986,0.2993,0.0799,0.0,0.497
fedprox_0p1,11,4,17,,0.199198,0.2781,0.0738,0.0,0.498
fedprox_0p1,11,4,18,,0.244299,0.2994,0.0705,0.0,0.4919
fedprox_0p1,11,4,19,,0.265509,0.3272,0.1097,0.0,0.498
fedprox_0p1,11,4,20,N/A (fixed-20),0.267422,0.3256,0.0947,0.0,0.498
fedprox_0p1,11,5,1,,0.038906,0.5833,0.5429,0.2,0.598
fedprox_0p1,11,5,2,,0.035076,0.3667,0.5272,0.0,0.5
fedprox_0p1,11,5,3,,0.040464,0.2361,0.3836,0.0,0.5
fedprox_0p1,11,5,4,,0.052666,0.2576,0.3431,0.0,0.498
fedprox_0p1,11,5,5,,0.067408,0.1917,0.2888,0.2,0.596
fedprox_0p1,11,5,6,,0.083836,0.2222,0.2793,0.0,0.494
fedprox_0p1,11,5,7,,0.116441,0.1961,0.1985,0.0,0.492
fedprox_0p1,11,5,8,,0.140141,0.1488,0.1558,0.0,0.49
fedprox_0p1,11,5,9,,0.15641,0.1222,0.1773,0.0,0.492
fedprox_0p1,11,5,10,,0.161086,0.1233,0.1854,0.0,0.492
fedprox_0p1,11,5,11,,0.162554,0.1238,0.19,0.0,0.494
fedprox_0p1,11,5,12,,0.163715,0.125,0.1896,0.0,0.492
fedprox_0p1,11,5,13,,0.165364,0.125,0.1896,0.0,0.492
fedprox_0p1,11,5,14,,0.165599,0.1256,0.1896,0.0,0.492
fedprox_0p1,11,5,15,,0.165566,0.1256,0.1896,0.0,0.492
fedprox_0p1,11,5,16,,0.164495,0.1256,0.1896,0.0,0.492
fedprox_0p1,11,5,17,,0.16298,0.1513,0.1919,0.0,0.492
fedprox_0p1,11,5,18,,0.163152,0.1528,0.2062,0.0,0.492
fedprox_0p1,11,5,19,,0.17436,0.1286,0.1921,0.0,0.494
fedprox_0p1,11,5,20,N/A (fixed-20),0.178216,0.1528,0.1873,0.0,0.492
fedprox_0p1,11,6,1,,0.292936,0.6771,0.7639,0.5417,0.7559
fedprox_0p1,11,6,2,,0.34076,0.6623,0.7608,0.625,0.7826
fedprox_0p1,11,6,3,,0.379072,0.6421,0.7361,0.6111,0.777
fedprox_0p1,11,6,4,,0.547025,0.6183,0.7059,0.5556,0.752
fedprox_0p1,11,6,5,,0.751311,0.6049,0.6758,0.4722,0.7144
fedprox_0p1,11,6,6,,0.684792,0.6215,0.6621,0.6111,0.7716
fedprox_0p1,11,6,7,,0.853404,0.613,0.6684,0.5278,0.7313
fedprox_0p1,11,6,8,,1.058385,0.6157,0.6698,0.5,0.7215
fedprox_0p1,11,6,9,,1.120366,0.6198,0.6665,0.4861,0.7145
fedprox_0p1,11,6,10,,1.148839,0.6147,0.6643,0.5694,0.7467
fedprox_0p1,11,6,11,,1.292692,0.6179,0.6771,0.5556,0.752
fedprox_0p1,11,6,12,,1.086354,0.5691,0.668,0.5556,0.7492
fedprox_0p1,11,6,13,,1.115618,0.5798,0.657,0.5833,0.7563
fedprox_0p1,11,6,14,,1.250853,0.5833,0.7041,0.6389,0.7787
fedprox_0p1,11,6,15,,1.087692,0.5801,0.6696,0.5694,0.744
fedprox_0p1,11,6,16,,1.063772,0.5826,0.6493,0.5556,0.7438
fedprox_0p1,11,6,17,,0.955003,0.5913,0.6699,0.6389,0.7678
fedprox_0p1,11,6,18,,1.008249,0.5897,0.6659,0.5278,0.734
fedprox_0p1,11,6,19,,1.068774,0.6083,0.6786,0.5694,0.7467
fedprox_0p1,11,6,20,N/A (fixed-20),1.132058,0.6033,0.6645,0.5417,0.7355
fedprox_0p1,11,7,1,,0.195248,0.7374,0.6335,0.4985,0.7316
fedprox_0p1,11,7,2,,0.205159,0.7168,0.6474,0.4114,0.6972
fedprox_0p1,11,7,3,,0.215596,0.7279,0.6527,0.5225,0.7448
fedprox_0p1,11,7,4,4,0.244388,0.7004,0.6288,0.5075,0.7349
fedprox_0p1,11,8,1,,0.179976,0.6537,0.6594,0.48,0.7269
fedprox_0p1,11,8,2,,0.192389,0.656,0.6675,0.5644,0.7619
fedprox_0p1,11,8,3,,0.210905,0.6322,0.6357,0.5111,0.7373
fedprox_0p1,11,8,4,4,0.266323,0.6089,0.6446,0.5022,0.7382
fedprox_0p1,13,0,1,,0.088795,0.6686,0.513,0.2439,0.6207
fedprox_0p1,13,0,2,,0.081235,0.6813,0.5241,0.4228,0.7065
fedprox_0p1,13,0,3,,0.117174,0.5774,0.4888,0.3902,0.6893
fedprox_0p1,13,0,4,,0.12005,0.5931,0.4933,0.3659,0.6775
fedprox_0p1,13,0,5,5,0.112791,0.5842,0.4908,0.4634,0.7211
fedprox_0p1,13,1,1,,0.177317,0.775,0.6959,0.5356,0.7529
fedprox_0p1,13,1,2,,0.188468,0.7637,0.6851,0.603,0.7772
fedprox_0p1,13,1,3,,0.203437,0.7519,0.6668,0.5356,0.7485
fedprox_0p1,13,1,4,4,0.243323,0.7239,0.6284,0.4719,0.7155
fedprox_0p1,13,2,1,,0.211221,0.7292,0.7093,0.5246,0.7442
fedprox_0p1,13,2,2,,0.207639,0.7216,0.6931,0.5059,0.7338
fedprox_0p1,13,2,3,,0.228609,0.7077,0.6799,0.5399,0.7442
fedprox_0p1,13,2,4,,0.232773,0.6971,0.6894,0.4873,0.7252
fedprox_0p1,13,2,5,5,0.311752,0.6592,0.6274,0.4686,0.7104
fedprox_0p1,13,3,1,,0.232622,0.6882,0.6383,0.5141,0.7266
fedprox_0p1,13,3,2,,0.246654,0.68,0.633,0.5315,0.7336
fedprox_0p1,13,3,3,,0.262956,0.6575,0.6144,0.4707,0.713
fedprox_0p1,13,3,4,4,0.281032,0.6476,0.6033,0.5011,0.718
fedprox_0p1,13,4,1,,0.086977,0.6792,0.2931,0.1,0.549
fedprox_0p1,13,4,2,,0.104931,0.6072,0.3246,0.0,0.499
fedprox_0p1,13,4,3,,0.097062,0.5544,0.2368,0.1,0.548
fedprox_0p1,13,4,4,,0.149377,0.5006,0.2397,0.0,0.499
fedprox_0p1,13,4,5,,0.201647,0.5227,0.1667,0.0,0.499
fedprox_0p1,13,4,6,,0.290597,0.474,0.152,0.0,0.499
fedprox_0p1,13,4,7,,0.257374,0.4636,0.1228,0.0,0.497
fedprox_0p1,13,4,8,,0.295388,0.4674,0.1152,0.0,0.498
fedprox_0p1,13,4,9,,0.250716,0.3224,0.0968,0.1,0.5348
fedprox_0p1,13,4,10,,0.165443,0.4503,0.1392,0.0,0.498
fedprox_0p1,13,4,11,,0.219042,0.4304,0.1733,0.0,0.499
fedprox_0p1,13,4,12,,0.27118,0.4083,0.162,0.0,0.498
fedprox_0p1,13,4,13,,0.328545,0.4042,0.1632,0.0,0.498
fedprox_0p1,13,4,14,,0.338993,0.3518,0.1108,0.0,0.497
fedprox_0p1,13,4,15,,0.444718,0.4202,0.1147,0.0,0.498
fedprox_0p1,13,4,16,,0.358833,0.4565,0.1083,0.0,0.497
fedprox_0p1,13,4,17,,0.386295,0.4203,0.1116,0.0,0.498
fedprox_0p1,13,4,18,,0.430574,0.4186,0.1094,0.0,0.498
fedprox_0p1,13,4,19,,0.426438,0.4246,0.1092,0.0,0.498
fedprox_0p1,13,4,20,N/A (fixed-20),0.42486,0.423,0.1109,0.0,0.498
fedprox_0p1,13,5,1,,0.14956,0.1091,0.5556,0.2,0.598
fedprox_0p1,13,5,2,,0.145922,0.1008,0.5821,0.2,0.598
fedprox_0p1,13,5,3,,0.201318,0.0978,0.5283,0.2,0.598
fedprox_0p1,13,5,4,,0.241535,0.1004,0.595,0.4,0.696
fedprox_0p1,13,5,5,,0.292484,0.1012,0.5968,0.4,0.696
fedprox_0p1,13,5,6,,0.32956,0.1059,0.5743,0.6,0.794
fedprox_0p1,13,5,7,,0.363454,0.1059,0.5743,0.6,0.796
fedprox_0p1,13,5,8,,0.386731,0.1093,0.5843,0.6,0.796
fedprox_0p1,13,5,9,,0.400898,0.1093,0.5756,0.6,0.796
fedprox_0p1,13,5,10,,0.406222,0.1093,0.5756,0.6,0.796
fedprox_0p1,13,5,11,,0.408658,0.1093,0.5756,0.6,0.796
fedprox_0p1,13,5,12,,0.410665,0.1093,0.5756,0.6,0.796
fedprox_0p1,13,5,13,,0.412161,0.1093,0.5756,0.6,0.796
fedprox_0p1,13,5,14,,0.415324,0.1093,0.5644,0.6,0.796
fedprox_0p1,13,5,15,,0.419129,0.1093,0.5756,0.6,0.796
fedprox_0p1,13,5,16,,0.418777,0.1093,0.5898,0.6,0.796
fedprox_0p1,13,5,17,,0.487503,0.1011,0.5057,0.2,0.596
fedprox_0p1,13,5,18,,0.478848,0.1004,0.481,0.2,0.596
fedprox_0p1,13,5,19,,0.457731,0.1001,0.481,0.4,0.696
fedprox_0p1,13,5,20,N/A (fixed-20),0.451917,0.1024,0.4857,0.4,0.694
fedprox_0p1,13,6,1,,0.251898,0.7318,0.7475,0.5,0.7391
fedprox_0p1,13,6,2,,0.251414,0.7376,0.7609,0.5556,0.7574
fedprox_0p1,13,6,3,,0.276475,0.7218,0.7195,0.5694,0.7603
fedprox_0p1,13,6,4,,0.28908,0.7429,0.745,0.5972,0.7769
fedprox_0p1,13,6,5,,0.391355,0.7419,0.7181,0.6667,0.7966
fedprox_0p1,13,6,6,,0.498352,0.7221,0.6964,0.5694,0.7494
fedprox_0p1,13,6,7,,0.699868,0.6738,0.652,0.4861,0.7186
fedprox_0p1,13,6,8,,0.608327,0.7237,0.7106,0.625,0.7799
fedprox_0p1,13,6,9,,0.564229,0.7207,0.67,0.5694,0.7467
fedprox_0p1,13,6,10,,0.594594,0.704,0.6693,0.5694,0.7453
fedprox_0p1,13,6,11,,0.6832,0.7021,0.6578,0.4722,0.7089
fedprox_0p1,13,6,12,,0.733225,0.6943,0.6366,0.5694,0.7453
fedprox_0p1,13,6,13,,0.830078,0.6841,0.6556,0.4583,0.702
fedprox_0p1,13,6,14,,0.833084,0.6772,0.6532,0.5278,0.7299
fedprox_0p1,13,6,15,,0.896348,0.6789,0.6593,0.4583,0.6993
fedprox_0p1,13,6,16,,0.912167,0.6682,0.6659,0.4861,0.7132
fedprox_0p1,13,6,17,,0.925793,0.6675,0.6655,0.4861,0.7132
fedprox_0p1,13,6,18,,0.953103,0.6841,0.6659,0.4722,0.7062
fedprox_0p1,13,6,19,,1.065852,0.6669,0.6636,0.4444,0.6978
fedprox_0p1,13,6,20,N/A (fixed-20),1.112639,0.6603,0.6334,0.5278,0.7258
fedprox_0p1,13,7,1,,0.181378,0.7227,0.6594,0.4835,0.7288
fedprox_0p1,13,7,2,,0.220984,0.685,0.6316,0.4745,0.7234
fedprox_0p1,13,7,3,,0.229557,0.691,0.6353,0.5676,0.7564
fedprox_0p1,13,7,4,4,0.256186,0.672,0.6296,0.5586,0.7505
fedprox_0p1,13,8,1,,0.194507,0.6979,0.6864,0.5067,0.743
fedprox_0p1,13,8,2,,0.207936,0.6854,0.6725,0.6089,0.7808
fedprox_0p1,13,8,3,,0.238652,0.6472,0.6533,0.5333,0.7448
fedprox_0p1,13,8,4,4,0.337627,0.6327,0.6606,0.5956,0.7756
fedprox_0p1,17,0,1,,0.094223,0.5989,0.5153,0.4309,0.7061
fedprox_0p1,17,0,2,,0.092705,0.6278,0.5249,0.4309,0.7091
fedprox_0p1,17,0,3,,0.103748,0.5882,0.5062,0.3496,0.6706
fedprox_0p1,17,0,4,,0.1511,0.5353,0.4835,0.2927,0.6438
