client_id,test_auprc,test_recall,test_balanced_acc,test_samples,test_deaths,method,seed
0,0.5073575330386472,0.7723577235772358,0.8424965513193038,2893,123,fedprox_0p1,7
1,0.7092814220739138,0.8202247191011236,0.8304102084198393,2080,267,fedprox_0p1,7
2,0.7031316850034965,0.8455008488964346,0.8073205068981584,3985,589,fedprox_0p1,7
3,0.606793468801511,0.8112798264642083,0.7969522977053018,3166,461,fedprox_0p1,7
4,0.30591563433072866,0.4,0.6888663967611336,504,10,fedprox_0p1,7
5,0.6028083028083029,0.8,0.88,255,5,fedprox_0p1,7
6,0.7562066671873383,0.8888888888888888,0.8439009661835748,440,72,fedprox_0p1,7
7,0.6509678487277722,0.7987987987987988,0.8113669450383446,2798,333,fedprox_0p1,7
8,0.6969523112226826,0.8533333333333334,0.8368108479231033,2167,225,fedprox_0p1,7
0,0.5206215440459565,0.6747967479674797,0.8040048721786857,2893,123,fedprox_0p1,11
1,0.7146057189745714,0.8576779026217228,0.8422421504283463,2080,267,fedprox_0p1,11
2,0.7013399260016797,0.8794567062818336,0.8151700492539911,3985,589,fedprox_0p1,11
3,0.6136964812492248,0.8394793926247288,0.7994069791219762,3166,461,fedprox_0p1,11
4,0.37313673037989764,0.5,0.7388663967611335,504,10,fedprox_0p1,11
5,0.6041666666666667,0.8,0.88,255,5,fedprox_0p1,11
6,0.7392051849743386,0.8194444444444444,0.8268417874396135,440,72,fedprox_0p1,11
7,0.6548051307856986,0.7927927927927928,0.8124207371671874,2798,333,fedprox_0p1,11
8,0.694625569879393,0.8533333333333334,0.8435049776862342,2167,225,fedprox_0p1,11
0,0.5363611796927965,0.6585365853658537,0.798762877520472,2893,123,fedprox_0p1,13
1,0.7175240010064948,0.8352059925093633,0.8392797750743176,2080,267,fedprox_0p1,13
2,0.7110177148581129,0.8777589134125636,0.8237440032316057,3985,589,fedprox_0p1,13
3,0.6223324278548034,0.8329718004338394,0.8068740702723726,3166,461,fedprox_0p1,13
4,0.32259061200237676,0.5,0.7338056680161944,504,10,fedprox_0p1,13
5,0.646078431372549,0.8,0.878,255,5,fedprox_0p1,13
6,0.734473431195956,0.8611111111111112,0.8354468599033817,440,72,fedprox_0p1,13
7,0.6607180274269749,0.7867867867867868,0.809823413677369,2798,333,fedprox_0p1,13
8,0.6931148241359213,0.8311111111111111,0.8316214669870694,2167,225,fedprox_0p1,13
0,0.5202195866996097,0.7235772357723578,0.8247850077778756,2893,123,fedprox_0p1,17
1,0.7049186007143691,0.8426966292134831,0.8364062296646566,2080,267,fedprox_0p1,17
