base_method,client_id,n_seeds,test_auprc_mean,test_auprc_std,test_recall_mean,test_recall_std
fedprox_0p1,0,5,0.4961,0.0241,0.4163,0.0859
fedprox_0p1,1,5,0.6441,0.0181,0.5169,0.0386
fedprox_0p1,2,5,0.6516,0.015,0.4869,0.0138
fedprox_0p1,3,5,0.598,0.0133,0.4751,0.0352
fedprox_0p1,4,5,0.1161,0.0182,0.0,0.0
fedprox_0p1,5,5,0.2878,0.127,0.12,0.1789
fedprox_0p1,6,5,0.6711,0.0297,0.55,0.0158
fedprox_0p1,7,5,0.6193,0.0098,0.5057,0.055
fedprox_0p1,8,5,0.6339,0.0203,0.5387,0.0506
fedavg,0,5,0.5041,0.0101,0.4341,0.0357
fedavg,1,5,0.6626,0.0241,0.5625,0.067
fedavg,2,5,0.6506,0.0183,0.5318,0.0314
fedavg,3,5,0.5784,0.0122,0.4985,0.0532
fedavg,4,5,0.1236,0.011,0.02,0.0447
fedavg,5,5,0.2122,0.1304,0.12,0.1789
fedavg,6,5,0.678,0.0263,0.5611,0.0641
fedavg,7,5,0.6246,0.0122,0.555,0.0307
fedavg,8,5,0.6339,0.0196,0.5191,0.0576
