method,seed,client_id,optimal_threshold_youden,optimal_threshold_sens80
fedprox_0p1,7,0,0.25,0.34
fedprox_0p1,7,1,0.58,0.54
fedprox_0p1,7,2,0.53,0.55
fedprox_0p1,7,3,0.46,0.51
fedprox_0p1,7,4,0.23,0.23
fedprox_0p1,7,5,0.41,0.53
fedprox_0p1,7,6,0.56,0.6
fedprox_0p1,7,7,0.51,0.49
fedprox_0p1,7,8,0.53,0.57
fedprox_0p1,11,0,0.17,0.25
fedprox_0p1,11,1,0.46,0.59
fedprox_0p1,11,2,0.5,0.6
fedprox_0p1,11,3,0.46,0.55
fedprox_0p1,11,4,0.27,0.27
fedprox_0p1,11,5,0.38,0.57
fedprox_0p1,11,6,0.29,0.5
fedprox_0p1,11,7,0.37,0.48
fedprox_0p1,11,8,0.5,0.57
fedprox_0p1,13,0,0.12,0.24
fedprox_0p1,13,1,0.4,0.54
fedprox_0p1,13,2,0.51,0.59
fedprox_0p1,13,3,0.49,0.54
fedprox_0p1,13,4,0.2,0.21
fedprox_0p1,13,5,0.14,0.55
fedprox_0p1,13,6,0.38,0.56
fedprox_0p1,13,7,0.49,0.47
fedprox_0p1,13,8,0.44,0.55
fedprox_0p1,17,0,0.28,0.32
fedprox_0p1,17,1,0.4,0.55
fedprox_0p1,17,2,0.54,0.59
fedprox_0p1,17,3,0.57,0.58
fedprox_0p1,17,4,0.18,0.18
fedprox_0p1,17,5,0.32,0.61
fedprox_0p1,17,6,0.31,0.55
fedprox_0p1,17,7,0.43,0.49
fedprox_0p1,17,8,0.54,0.55
fedprox_0p1,23,0,0.27,0.29
fedprox_0p1,23,1,0.5,0.56
fedprox_0p1,23,2,0.57,0.57
fedprox_0p1,23,3,0.43,0.54
fedprox_0p1,23,4,0.19,0.2
fedprox_0p1,23,5,0.22,0.62
fedprox_0p1,23,6,0.63,0.64
fedprox_0p1,23,7,0.27,0.43
fedprox_0p1,23,8,0.57,0.58
fedprox_0p01,7,0,0.42,0.44
fedprox_0p01,7,1,0.44,0.51
fedprox_0p01,7,2,0.57,0.55
fedprox_0p01,7,3,0.42,0.48
fedprox_0p01,7,4,0.21,0.21
fedprox_0p01,7,5,0.18,0.57
fedprox_0p01,7,6,0.31,0.48
fedprox_0p01,7,7,0.49,0.45
fedprox_0p01,7,8,0.56,0.53
fedprox_0p01,11,0,0.16,0.2
fedprox_0p01,11,1,0.41,0.45
fedprox_0p01,11,2,0.43,0.53
fedprox_0p01,11,3,0.44,0.47
fedprox_0p01,11,4,0.19,0.19
fedprox_0p01,11,5,0.18,0.37
fedprox_0p01,11,6,0.48,0.53
fedprox_0p01,11,7,0.26,0.37
fedprox_0p01,11,8,0.3,0.48
fedprox_0p01,13,0,0.3,0.33
fedprox_0p01,13,1,0.46,0.52
fedprox_0p01,13,2,0.53,0.57
fedprox_0p01,13,3,0.4,0.48
fedprox_0p01,13,4,0.17,0.5
fedprox_0p01,13,5,0.14,0.35
fedprox_0p01,13,6,0.35,0.47
fedprox_0p01,13,7,0.16,0.37
fedprox_0p01,13,8,0.3,0.49
fedprox_0p01,17,0,0.32,0.4
fedprox_0p01,17,1,0.26,0.51
fedprox_0p01,17,2,0.59,0.59
fedprox_0p01,17,3,0.49,0.53
fedprox_0p01,17,4,0.07,0.07
fedprox_0p01,17,5,0.28,0.59
fedprox_0p01,17,6,0.58,0.6
fedprox_0p01,17,7,0.46,0.47
fedprox_0p01,17,8,0.49,0.56
fedprox_0p01,23,0,0.21,0.27
fedprox_0p01,23,1,0.38,0.52
fedprox_0p01,23,2,0.53,0.55
fedprox_0p01,23,3,0.53,0.55
fedprox_0p01,23,4,0.24,0.5
fedprox_0p01,23,5,0.25,0.6
fedprox_0p01,23,6,0.48,0.49
fedprox_0p01,23,7,0.2,0.37
fedprox_0p01,23,8,0.45,0.49
fedavg,7,0,0.35,0.36
fedavg,7,1,0.39,0.43
fedavg,7,2,0.51,0.56
fedavg,7,3,0.48,0.49
fedavg,7,4,0.07,0.17
fedavg,7,5,0.32,0.52
fedavg,7,6,0.43,0.47
fedavg,7,7,0.41,0.42
fedavg,7,8,0.5,0.5
fedavg,11,0,0.41,0.41
fedavg,11,1,0.49,0.46
fedavg,11,2,0.49,0.52
fedavg,11,3,0.43,0.46
fedavg,11,4,0.17,0.17
fedavg,11,5,0.38,0.44
fedavg,11,6,0.47,0.5
fedavg,11,7,0.44,0.44
fedavg,11,8,0.4,0.47
fedavg,13,0,0.31,0.29
fedavg,13,1,0.37,0.37
fedavg,13,2,0.43,0.42
fedavg,13,3,0.36,0.36
fedavg,13,4,0.18,0.2
fedavg,13,5,0.29,0.29
fedavg,13,6,0.3,0.31
fedavg,13,7,0.37,0.33
fedavg,13,8,0.31,0.33
fedavg,17,0,0.44,0.4
fedavg,17,1,0.46,0.46
fedavg,17,2,0.49,0.47
fedavg,17,3,0.41,0.43
fedavg,17,4,0.15,0.16
fedavg,17,5,0.41,0.44
fedavg,17,6,0.49,0.49
fedavg,17,7,0.49,0.43
fedavg,17,8,0.43,0.46
fedavg,23,0,0.56,0.47
fedavg,23,1,0.43,0.48
fedavg,23,2,0.58,0.54
fedavg,23,3,0.49,0.49
fedavg,23,4,0.07,0.11
fedavg,23,5,0.36,0.5
fedavg,23,6,0.49,0.52
fedavg,23,7,0.39,0.44
fedavg,23,8,0.42,0.5
