model,alpha,loss,accuracy
mlp,-0.5,2.9212255477905273,0.4169999957084656
mlp,-0.45,2.0951194763183594,0.4169999957084656
mlp,-0.4,1.4562078714370728,0.4169999957084656
mlp,-0.35,0.9788463711738586,0.4169999957084656
mlp,-0.3,0.6459279656410217,0.4169999957084656
mlp,-0.25,0.45329809188842773,0.4169999957084656
mlp,-0.19999999999999996,0.4189826548099518,0.4169999957084656
mlp,-0.14999999999999997,0.5368747115135193,0.4169999957084656
mlp,-0.09999999999999998,0.6704564094543457,0.35600000619888306
mlp,-0.04999999999999999,0.7168384790420532,0.243599995970726
mlp,0.0,0.6968638896942139,0.6104000210762024
mlp,0.050000000000000044,0.6418987512588501,0.8047999739646912
mlp,0.10000000000000009,0.5952396988868713,0.8194000124931335
mlp,0.15000000000000002,0.5540403127670288,0.8209999799728394
mlp,0.20000000000000007,0.5174590349197388,0.8216000199317932
mlp,0.25,0.48662352561950684,0.8220000267028809
mlp,0.30000000000000004,0.4600617587566376,0.8217999935150146
mlp,0.3500000000000001,0.4369387626647949,0.8209999799728394
mlp,0.4,0.41764265298843384,0.8234000205993652
mlp,0.45000000000000007,0.40248262882232666,0.823199987411499
mlp,0.5,0.3907017707824707,0.8203999996185303
mlp,0.55,0.38186755776405334,0.8190000057220459
mlp,0.6000000000000001,0.3757931888103485,0.8190000057220459
mlp,0.6500000000000001,0.3722129166126251,0.8184000253677368
mlp,0.7000000000000002,0.3708123564720154,0.8185999989509583
mlp,0.75,0.37114667892456055,0.8187999725341797
mlp,0.8,0.37289711833000183,0.8190000057220459
mlp,0.8500000000000001,0.37589308619499207,0.8198000192642212
mlp,0.9000000000000001,0.3800620436668396,0.8203999996185303
mlp,0.9500000000000002,0.3853965699672699,0.8220000267028809
mlp,1.0,0.3920230567455292,0.8226000070571899
mlp,1.05,0.4002479016780853,0.8227999806404114
mlp,1.1,0.41065311431884766,0.8209999799728394
mlp,1.1500000000000001,0.4243724048137665,0.8222000002861023
mlp,1.2000000000000002,0.44320598244667053,0.8227999806404114
mlp,1.25,0.4704471826553345,0.823199987411499
mlp,1.3,0.5123034119606018,0.8194000124931335
mlp,1.35,0.581790030002594,0.8064000010490417
mlp,1.4000000000000001,0.7095911502838135,0.7278000116348267
mlp,1.4500000000000002,0.959987998008728,0.5838000178337097
mlp,1.5,1.3711063861846924,0.5830000042915344
