budget,loss,cost,lambda,status,primal_feasible,dual_feasible,complementary_slackness,stationarity_residual,budget_slack,budget_tolerance,kkt_status
2616320.0,1.0630095530475998,2616320.261643461,2.6849946277826904e-06,optimal,True,True,7.025112870499069e-07,1.3004047616504977e-08,0.2616434609517455,2.6163302616434607,pass
87194392.72727273,0.2950176957829269,87194392.11799572,4.6413282124298465e-11,optimal,True,True,2.827854575530764e-11,7.920205806466463e-05,-0.6092770099639893,87.19440272727273,pass
171772465.45454547,0.29109214475615963,171772465.408118,4.6413281298772944e-11,optimal,True,True,2.1548506924941997e-12,7.998612883142187e-11,-0.04642745852470398,171.77247545454546,pass
256350538.1818182,0.2871665995003717,256350537.89233494,4.641328143990064e-11,optimal,True,True,1.343586751667491e-11,2.4949708965493755e-11,-0.2894832491874695,256.35054818181817,pass
340928610.90909094,0.28324105466280236,340928609.83642477,4.641327925350344e-11,optimal,True,True,4.978595441105039e-11,8.98665475368432e-10,-1.0726661682128906,340.9286209090909,pass
425506683.6363637,0.2808261792345228,425506679.6566426,2.2051517034156595e-11,optimal,True,True,8.775888695165332e-11,6.144886387571269e-05,-3.9797210693359375,425.50669363636365,pass
510084756.3636364,0.2789611038099821,510084754.2640138,2.2051515669045393e-11,optimal,True,True,4.629985950806667e-11,6.144850157191462e-05,-2.0996225476264954,510.08476636363633,pass
594662829.0909091,0.27845295035264034,533128631.39691335,1.1745612024667112e-18,optimal,True,True,7.2275681236284e-11,2.058669346105546e-10,-61534197.693995774,594.6628390909091,pass
679240901.8181819,0.2784529500751395,533128631.9081935,2.6357513003141253e-19,optimal,True,True,3.851156054071002e-11,1.8254270317541454e-10,-146112269.90998834,679.2409118181819,pass
763818974.5454546,0.2784529500426569,533128632.048186,1.5050298309044722e-19,optimal,True,True,3.4719584715995896e-11,1.7928003526179737e-10,-230690342.49726862,763.8189845454546,pass
848397047.2727274,0.27845295002590126,533128632.1947543,1.0766687710734834e-19,optimal,True,True,3.3943965702028615e-11,1.760553924867736e-10,-315268415.07797307,848.3970572727274,pass
932975120.0,0.2784529500320732,533128632.0530994,8.68456375336384e-20,optimal,True,True,3.472492316133485e-11,1.748586275773789e-10,-399846487.9469006,932.9751299999999,pass
