method,seed,mu,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc,dense_cost,sparse_cost,beta
fedprox_mu_0p0,7,0.0,30,True,15,0.3377053456174003,0.36648981604311204,0.8985455698437161,0.8338770270347595,363496800,0.8917449783924016,0.6376716739171441,0.7935662060982578,0.6848920863309352,0.9022403258655805,0.2,0.18206066291432144,363496800.0,363496800.0,
fedprox_mu_0p0,11,0.0,40,True,25,0.3425443404250675,0.4069126811292436,0.8790110548337301,0.8097866773605347,484662400,0.8819784535267545,0.6355609892662759,0.8043200100167968,0.7467625899280576,0.861877430105536,0.1,0.13795494834647593,484662400.0,484662400.0,
fedprox_mu_0p0,19,0.0,29,True,14,0.29584944910473293,0.35944441788726383,0.8814378049638536,0.8351317644119263,351380240,0.8972576650769738,0.6427285045577831,0.8044604050142592,0.7309352517985611,0.8779855582299574,0.4,0.2166039483772042,351380240.0,351380240.0,
fedprox_mu_0p0,23,0.0,42,True,27,0.3099760620130433,0.3330107894208696,0.8888364368014865,0.8110414147377014,508895520,0.8861151330740629,0.6228093962972715,0.7853860884630566,0.6829736211031175,0.8877985558229957,0.1,0.18787432512276458,508895520.0,508895520.0,
fedprox_mu_0p0,29,0.0,32,True,17,0.32376858012543785,0.41446416411134934,0.858450690905253,0.7867001295089722,387729920,0.8928141175265676,0.6488356095938189,0.8121654796140869,0.7860911270983213,0.8382398321298525,0.4,0.1606242211507254,387729920.0,387729920.0,
fedprox_mu_0p0,31,0.0,43,True,28,0.285082436270184,0.3316149628824658,0.9076878097322252,0.8383939862251282,521012080,0.8740412520936777,0.6199951156839536,0.7763645776583695,0.6354916067146283,0.9172375486021107,0.1,0.12085084033613444,521012080.0,521012080.0,
fedprox_mu_0p0,37,0.0,35,True,20,0.32099353273709613,0.38768550919161904,0.8882645964622498,0.8085319995880127,424079600,0.8966661886191843,0.6428360031360589,0.8077560021969463,0.7376498800959232,0.8778621242979695,0.2,0.19880558902369216,424079600.0,424079600.0,
fedprox_mu_0p0,41,0.0,45,True,30,0.29674936996565926,0.30278710027535755,0.9151885774400499,0.8648136258125305,545245200,0.8839995435608559,0.6290118373912748,0.7624718666096562,0.5856115107913669,0.9393322224279455,0.0,0.1145255837475517,545245200.0,545245200.0,
fedprox_mu_0p0,43,0.0,31,True,16,0.32966602179739213,0.38260359234280056,0.890495068497128,0.8082810640335083,375613360,0.8953200187489334,0.6362519771833707,0.8012733231300537,0.7189448441247003,0.8836018021354071,0.1,0.23310038545332662,375613360.0,375613360.0,
fedprox_mu_0p0,47,0.0,38,True,23,0.33267100983195835,0.4064021242989434,0.8783706956439548,0.8020075559616089,460429280,0.9020699159983252,0.6475222624320184,0.8166331219416246,0.7697841726618705,0.8634820712213788,0.3,0.1976174456610834,460429280.0,460429280.0,
