method,mu,topk_fraction,n,dense_comm_bytes_mean,sparse_comm_bytes_mean,compression_ratio_mean,l0_fraction_nonzero_mean
fedprox,0.0,0.01,5720,392153.44755244756,7848.314685314685,0.02037493168750664,0.9577387718601191
fedprox,0.0,0.05,5720,392153.44755244756,39220.468531468534,0.10053366058854098,0.9577387718601191
fedprox,0.0,0.1,5720,392153.44755244756,78435.48951048951,0.20040103540805645,0.9577387718601191
fedprox,0.0,0.25,5720,392153.44755244756,196078.0,0.5000010532888676,0.9577387718601191
fedprox,0.0,1.0,5720,392153.44755244756,784306.8951048951,2.0,0.9577387718601191
fedprox,0.001,0.01,5720,392153.44755244756,7848.314685314685,0.02037493168750664,0.965877069534913
fedprox,0.001,0.05,5720,392153.44755244756,39220.468531468534,0.10053366058854098,0.965877069534913
fedprox,0.001,0.1,5720,392153.44755244756,78435.48951048951,0.20040103540805645,0.965877069534913
fedprox,0.001,0.25,5720,392153.44755244756,196078.0,0.5000010532888676,0.965877069534913
fedprox,0.001,1.0,5720,392153.44755244756,784306.8951048951,2.0,0.965877069534913
fedprox,0.01,0.01,6340,472294.07570977916,9451.287066246057,0.020338821722980256,0.9720260744173648
fedprox,0.01,0.05,6340,472294.07570977916,47234.26498422713,0.1004816666621117,0.9720260744173648
fedprox,0.01,0.1,6340,472294.07570977916,94463.61514195583,0.20036220483860417,0.9720260744173648
fedprox,0.01,0.25,6340,472294.07570977916,236148.58044164037,0.5000012731226939,0.9720260744173648
fedprox,0.01,1.0,6340,472294.07570977916,944588.1514195583,2.0,0.9720260744173648
fedprox,0.1,0.01,5660,383466.14134275616,7674.5512367491165,0.02037884603565033,0.9770072775461964
fedprox,0.1,0.05,5660,383466.14134275616,38351.766784452295,0.10053929677046669,0.9770072775461964
fedprox,0.1,0.1,5660,383466.14134275616,76698.02826855124,0.2004052446718829,0.9770072775461964
fedprox,0.1,0.25,5660,383466.14134275616,191734.3180212014,0.5000010294587104,0.9770072775461964
fedprox,0.1,1.0,5660,383466.14134275616,766932.2826855123,2.0,0.9770072775461964
