method,n,final_loss_mean,final_loss_std,final_accuracy_mean,final_accuracy_std,final_auroc_mean,final_auroc_std,final_auprc_mean,final_auprc_std,final_worst_client_accuracy_mean,final_worst_client_accuracy_std,final_worst_client_recall_mean,final_worst_client_recall_std,total_comm_until_stop_mean,total_comm_until_stop_std,stopped_round_mean,stopped_round_std
fedprox_mu_0p0,10,0.3691415157583025,0.03743425164122995,0.8886288305123647,0.016092879979566987,0.8902007266617737,0.00851001404201612,0.636322336945897,0.009834822417532647,0.8198565244674683,0.022739984923874763,0.19,0.13703203194062977,442254440.0,71168675.72927853,36.5,5.873670062235365
fedprox_mu_0p001,10,0.38555736078156366,0.02385652795459099,0.8791234334309896,0.009952959157561447,0.901940767696896,0.004509028483967007,0.6510813728486357,0.006160148349237543,0.8148416876792908,0.013605011882109615,0.41,0.17919573407620815,442254440.0,54262111.02413994,36.5,4.478342947514801
fedprox_mu_0p01,10,0.3012536982695262,0.01247502408333641,0.8612186902099186,0.009993210996116154,0.9081475068047766,0.006319962144424045,0.6598514166383792,0.011935685562261074,0.7835763812065124,0.018595767946604714,0.49000000000000005,0.08755950357709129,592499784.0,195911449.27833468,48.9,16.168900189355284
fedprox_mu_0p1,10,0.29826513636443347,0.014504425099521668,0.841865462064743,0.009709568417771118,0.9128119596527926,0.0011533346187494597,0.665326247870527,0.0050799025550562794,0.7543730556964874,0.015996916021531925,0.5,0.047140452079103154,427714568.0,120226291.42375776,35.3,9.922477289243627
logreg_fedavg,10,0.38620802627669437,0.014347110270242509,0.8477432522508833,0.0033395370885771123,0.8945519429670113,0.0012840518547196141,0.6008994181851962,0.010024712320543031,0.7600455582141876,0.01002837615819261,0.45,0.07071067811865474,6369104.0,289578.68994646537,77.9,3.541813722437199
logreg_cvar_0.5,10,0.38828244780500726,0.02114621108020263,0.845845635732015,0.00528424247614254,0.8935079849469805,0.002147921268516774,0.6001928519611182,0.01082704188788923,0.7597116231918335,0.014052525038120508,0.45999999999999996,0.107496769977314,6295520.0,389255.45887844224,77.0,4.760952285695233
logreg_cvar_0.75,10,0.3906425923936897,0.015626828542979688,0.8446604033311207,0.0075801027056188654,0.8917898956154462,0.0064476401801204656,0.5940722182640255,0.016771465430299365,0.7524209141731262,0.023896855139561773,0.43000000000000005,0.10593499054713801,6189232.0,669844.5773428009,75.7,8.192815280611557
logreg_cvar_0.9,10,0.39044041625327536,0.014980501370186835,0.844627320766449,0.0076641849457708385,0.891827896690239,0.006329462770573836,0.594231506431677,0.016562173082499416,0.7528897166252136,0.02179066594503164,0.43000000000000005,0.10593499054713801,6189232.0,669844.5773428009,75.7,8.192815280611557
logreg_cvar_0.95,10,0.39044041625327536,0.014980501370186835,0.844627320766449,0.0076641849457708385,0.891827896690239,0.006329462770573836,0.594231506431677,0.016562173082499416,0.7528897166252136,0.02179066594503164,0.43000000000000005,0.10593499054713801,6189232.0,669844.5773428009,75.7,8.192815280611557
logreg_fedprox_mu_0p0,10,0.3846287365588877,0.012711283144370408,0.8475357671578726,0.003611203204961383,0.8949062353523958,0.0013407774785071775,0.6028523660784927,0.011159035642094535,0.7605790436267853,0.010176387966735855,0.44000000000000006,0.06992058987801009,6369104.0,289578.68994646537,77.9,3.541813722437199
logreg_fedprox_mu_0p001,10,0.38442053024967515,0.012836157829582523,0.8475108212894863,0.0034497512594568926,0.8949185313848531,0.0013521255851680208,0.6029393616942623,0.011119962881447077,0.7606041550636291,0.009904186387156831,0.43,0.08232726023485645,6369104.0,289578.68994646537,77.9,3.541813722437199
logreg_fedprox_mu_0p01,10,0.38194299886624017,0.013185008423116424,0.8480786734157139,0.003299743853470074,0.8953773415261497,0.001331884617960215,0.6038465200752672,0.011062868406973061,0.760817015171051,0.009921800811582112,0.45,0.07071067811865474,6369104.0,289578.68994646537,77.9,3.541813722437199
logreg_fedprox_mu_0p1,10,0.35787787545058464,0.010589761810993135,0.8530984063943228,0.0038474633802017986,0.898771533412041,0.0017543263257086307,0.6124693383922514,0.0073276480012593025,0.7676880538463593,0.01186827000934001,0.45,0.07071067811865474,6369104.0,292132.3433423055,77.9,3.573047252229764
