synthetic_client_id,original_slot,split,rows,deaths,mortality_rate,beta,seed
0,2,train,241,0,0.0,0.1,29
0,2,test,254,127,0.5,0.1,29
1,3,train,21,15,0.7142857142857143,0.1,29
1,3,test,22,0,0.0,0.1,29
2,4,train,1230,364,0.2959349593495935,0.1,29
2,4,test,44,29,0.6590909090909091,0.1,29
3,5,train,3283,0,0.0,0.1,29
3,5,test,485,485,1.0,0.1,29
4,7,train,1902,0,0.0,0.1,29
4,7,test,6,6,1.0,0.1,29
5,9,train,769,375,0.48764629388816644,0.1,29
5,9,test,6036,0,0.0,0.1,29
6,10,train,44,44,1.0,0.1,29
6,10,test,229,0,0.0,0.1,29
7,11,train,72,12,0.16666666666666666,0.1,29
7,11,test,4,4,1.0,0.1,29
8,12,train,17771,80,0.004501716279331495,0.1,29
8,12,test,8,0,0.0,0.1,29
9,15,train,388,296,0.7628865979381443,0.1,29
9,15,test,178,104,0.5842696629213483,0.1,29
10,16,train,5743,200,0.03482500435312554,0.1,29
10,16,test,1287,0,0.0,0.1,29
11,22,train,528,0,0.0,0.1,29
11,22,test,1217,1216,0.9991783073130649,0.1,29
12,23,train,85,85,1.0,0.1,29
12,23,test,34,21,0.6176470588235294,0.1,29
13,26,train,15,0,0.0,0.1,29
13,26,test,31,0,0.0,0.1,29
14,27,train,1299,1284,0.9884526558891455,0.1,29
14,27,test,33,31,0.9393939393939394,0.1,29
15,29,train,458,52,0.11353711790393013,0.1,29
15,29,test,52,51,0.9807692307692307,0.1,29
