synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,782,303,1.0,31
1,1,5972,189,1.0,31
2,2,192,294,1.0,31
3,3,380,3055,1.0,31
4,4,1435,543,1.0,31
5,5,1157,327,1.0,31
6,6,1564,102,1.0,31
7,7,814,1333,1.0,31
8,8,3812,1618,1.0,31
9,9,1725,236,1.0,31
10,10,1027,240,1.0,31
11,11,591,758,1.0,31
12,12,1037,658,1.0,31
13,13,687,913,1.0,31
14,14,4554,59,1.0,31
15,15,3099,456,1.0,31
16,16,1292,1749,1.0,31
17,17,86,20,1.0,31
18,18,1462,339,1.0,31
19,19,444,459,1.0,31
20,20,4529,286,1.0,31
21,21,2463,138,1.0,31
22,22,3781,327,1.0,31
23,23,1450,107,1.0,31
24,24,342,270,1.0,31
25,25,6119,1406,1.0,31
26,26,1241,191,1.0,31
27,27,581,914,1.0,31
28,28,533,665,1.0,31
29,29,1702,333,1.0,31
