synthetic_client_id,original_slot,split,rows,deaths,mortality_rate,beta,seed
0,0,train,1829,237,0.12957900492072172,infinity,19
0,0,test,610,72,0.1180327868852459,infinity,19
1,1,train,1829,209,0.11427009294696555,infinity,19
1,1,test,610,60,0.09836065573770492,infinity,19
2,2,train,1829,208,0.11372334609075997,infinity,19
2,2,test,610,71,0.11639344262295082,infinity,19
3,3,train,1829,201,0.10989611809732094,infinity,19
3,3,test,610,82,0.13442622950819672,infinity,19
4,4,train,1829,192,0.10497539639147074,infinity,19
4,4,test,610,62,0.10163934426229508,infinity,19
5,5,train,1829,219,0.11973756150902132,infinity,19
5,5,test,610,66,0.10819672131147541,infinity,19
6,6,train,1829,207,0.1131765992345544,infinity,19
6,6,test,610,71,0.11639344262295082,infinity,19
7,7,train,1829,181,0.0989611809732094,infinity,19
7,7,test,610,69,0.11311475409836065,infinity,19
8,8,train,1829,199,0.10880262438490979,infinity,19
8,8,test,610,71,0.11639344262295082,infinity,19
9,9,train,1829,227,0.12411153635866594,infinity,19
9,9,test,610,83,0.1360655737704918,infinity,19
10,10,train,1829,201,0.10989611809732094,infinity,19
10,10,test,610,67,0.10983606557377049,infinity,19
11,11,train,1829,220,0.1202843083652269,infinity,19
11,11,test,610,59,0.09672131147540984,infinity,19
12,12,train,1829,222,0.12137780207763806,infinity,19
12,12,test,610,66,0.10819672131147541,infinity,19
13,13,train,1828,193,0.10557986870897156,infinity,19
13,13,test,610,77,0.12622950819672132,infinity,19
14,14,train,1828,203,0.11105032822757112,infinity,19
14,14,test,610,68,0.11147540983606558,infinity,19
15,15,train,1828,226,0.12363238512035012,infinity,19
15,15,test,610,83,0.1360655737704918,infinity,19
16,16,train,1828,209,0.11433260393873085,infinity,19
16,16,test,610,66,0.10819672131147541,infinity,19
17,17,train,1828,212,0.11597374179431072,infinity,19
17,17,test,610,76,0.12459016393442623,infinity,19
18,18,train,1828,216,0.11816192560175055,infinity,19
18,18,test,609,66,0.10837438423645321,infinity,19
19,19,train,1828,217,0.1187089715536105,infinity,19
19,19,test,609,67,0.11001642036124795,infinity,19
20,20,train,1828,199,0.10886214442013128,infinity,19
20,20,test,609,79,0.1297208538587849,infinity,19
21,21,train,1828,213,0.11652078774617068,infinity,19
21,21,test,609,72,0.11822660098522167,infinity,19
22,22,train,1828,198,0.10831509846827134,infinity,19
22,22,test,609,69,0.11330049261083744,infinity,19
23,23,train,1828,223,0.12199124726477024,infinity,19
23,23,test,609,71,0.11658456486042693,infinity,19
24,24,train,1828,200,0.10940919037199125,infinity,19
24,24,test,609,60,0.09852216748768473,infinity,19
25,25,train,1828,201,0.10995623632385121,infinity,19
25,25,test,609,53,0.08702791461412152,infinity,19
26,26,train,1828,218,0.11925601750547046,infinity,19
26,26,test,609,76,0.12479474548440066,infinity,19
27,27,train,1828,218,0.11925601750547046,infinity,19
27,27,test,609,70,0.11494252873563218,infinity,19
28,28,train,1828,212,0.11597374179431072,infinity,19
28,28,test,609,72,0.11822660098522167,infinity,19
29,29,train,1828,174,0.09518599562363239,infinity,19
29,29,test,609,61,0.10016420361247948,infinity,19
