beta,seed,split,clients,rows_total,rows_min,rows_max,mortality_rate_mean,mortality_rate_std,mortality_rate_min,mortality_rate_max
0.1,7,train,15,51203,15,26628,0.4068041133758372,0.42881361584710276,0.0,1.0
0.1,7,test,15,16886,3,10101,0.2848841284185152,0.4339399623200116,0.0,1.0
0.1,11,train,17,39078,12,17532,0.3161440307193468,0.442390912659424,0.0,1.0
0.1,11,test,17,8014,2,2019,0.6040063726310921,0.4347921952097811,0.0,1.0
0.1,19,train,14,45839,11,33952,0.3335220766603745,0.43590728122890054,0.0,1.0
0.1,19,test,14,14116,2,9154,0.4207513441983277,0.4508858017018647,0.0,1.0
0.1,23,train,21,53520,13,16936,0.3844343205003022,0.430587742804036,0.0,1.0
0.1,23,test,21,17134,2,12127,0.39227125461762113,0.45607748315550145,0.0,1.0
0.1,29,train,16,33849,15,17771,0.34804604540961365,0.3951534361550059,0.0,1.0
0.1,29,test,16,9920,4,6036,0.5175218192695015,0.43045941789037784,0.0,1.0
0.1,31,train,18,38029,19,14745,0.376434813774643,0.44839660165053075,0.0,1.0
0.1,31,test,18,18015,3,8511,0.49947545618586553,0.4417616294195853,0.0,1.0
0.1,37,train,14,36129,59,13632,0.4056516682129193,0.44856742041893655,0.0,1.0
0.1,37,test,14,13156,3,3048,0.5495278782062754,0.474153570071574,0.0,1.0
0.1,41,train,14,45395,11,16746,0.1940259489917457,0.3462445725428738,0.0,1.0
0.1,41,test,14,16548,2,7409,0.3141021701317806,0.3756576003415622,0.0,1.0
0.1,43,train,19,48898,29,16202,0.3534400550012564,0.4332287570914682,0.0,1.0
0.1,43,test,19,16643,2,7122,0.2969156810722033,0.4183003992973044,0.0,1.0
0.1,47,train,19,25905,12,9848,0.4450670184666794,0.43562745318635965,0.0,1.0
0.1,47,test,19,17661,2,6853,0.3082307301142115,0.40369537444526277,0.0,1.0
0.5,7,train,30,54853,57,12963,0.2825610168266666,0.31583204407258053,0.0,0.9953703703703703
0.5,7,test,30,18288,9,5036,0.30407695092911763,0.3623489364057307,0.0,1.0
0.5,11,train,30,54853,90,7336,0.28228885829210426,0.32356440888906157,0.0,0.9958904109589041
0.5,11,test,30,18288,41,3068,0.2667959519784984,0.28792571297948955,0.0018587360594795538,0.956140350877193
0.5,19,train,30,54853,152,6036,0.17891538261666262,0.2743237199250541,0.0,1.0
0.5,19,test,30,18288,5,4972,0.2467782439878579,0.2711320016962955,0.0,0.9297752808988764
0.5,23,train,30,54853,117,8870,0.2058704888463396,0.22189998265758537,0.002593010146561443,0.9437751004016064
0.5,23,test,30,18288,8,2508,0.19835507872003755,0.2063619563719835,0.00039872408293460925,0.6733870967741935
0.5,29,train,30,54853,18,9881,0.32819757661754445,0.37411465096474306,0.0005054334091483447,1.0
0.5,29,test,30,18288,4,3550,0.2546528402245901,0.320358549622458,0.0,0.9642857142857143
0.5,31,train,29,49116,27,7958,0.21634242952359686,0.2571962894657105,0.0,0.9468085106382979
0.5,31,test,29,18287,7,2939,0.28046389463618976,0.3015531710819508,0.0,0.9655172413793104
0.5,37,train,29,54810,20,7300,0.26058567859264703,0.29817293611637563,0.0020304568527918783,0.95
0.5,37,test,29,18287,36,2635,0.2928375867941652,0.2927899293151313,0.0,0.9295774647887324
0.5,41,train,30,54853,73,8381,0.27665350294163443,0.2982656752178244,0.0,0.988950276243094
0.5,41,test,30,18288,31,3306,0.23943677959190737,0.26451353117387855,0.0,0.967741935483871
0.5,43,train,30,54853,33,5927,0.2569363606350235,0.32404157273892625,0.00016871941960519654,0.9828571428571429
0.5,43,test,30,18288,3,2950,0.22416772829860715,0.2741646553543959,0.0,0.9822222222222222
0.5,47,train,30,54853,91,10071,0.26155094578581656,0.33386597867232326,0.0,0.9877300613496932
0.5,47,test,30,18288,28,2010,0.1773107142525516,0.22635548792399238,0.0,0.93
1.0,7,train,30,54853,111,6198,0.19643067034412856,0.2411754039594746,0.0037095919448860626,0.9098660170523751
1.0,7,test,30,18288,124,1722,0.16799941562989884,0.20513875370980636,0.001579778830963665,0.8686131386861314
1.0,11,train,30,54853,72,7952,0.16185292685075803,0.17746798037561431,0.0029282576866764276,0.8110047846889952
1.0,11,test,30,18288,71,3195,0.20712806492314068,0.2230344597230429,0.0017889087656529517,0.8839285714285714
1.0,19,train,30,54853,147,6013,0.13795827356603643,0.14164142035205235,0.0,0.5094850948509485
1.0,19,test,30,18288,108,2145,0.16082220194125693,0.17287154031850083,0.0022148394241417496,0.8067226890756303
1.0,23,train,30,54853,209,6835,0.16043882752694996,0.1936163639888026,0.0013477088948787063,0.952054794520548
1.0,23,test,30,18288,60,2100,0.19564322280909419,0.21772877351062173,0.0,0.8787878787878788
1.0,29,train,30,54853,100,6678,0.15601460422245358,0.11391781306781332,0.01425438596491228,0.4367816091954023
1.0,29,test,30,18288,95,1448,0.18214171489386027,0.21283306639133287,0.0030211480362537764,0.7784810126582279
1.0,31,train,30,54853,86,6119,0.19261686109584378,0.1853491271683212,0.00236096537250787,0.6462530217566479
1.0,31,test,30,18288,20,3055,0.21395756246458322,0.23217466388008348,0.003401360544217687,0.9267015706806283
1.0,37,train,30,54853,109,10345,0.21846991569075275,0.2082816333658457,0.0024242424242424242,0.7247706422018348
1.0,37,test,30,18288,49,1964,0.17038716345124616,0.14474602986263416,0.0015814443858724301,0.5
1.0,41,train,30,54853,160,7387,0.18260192567569394,0.17902547635318414,0.004384042086804033,0.7122186495176849
1.0,41,test,30,18288,34,2598,0.17448077813142612,0.2038861307387614,0.0064516129032258064,0.8606965174129353
1.0,43,train,30,54853,177,7407,0.2077664348063289,0.1990139365636601,0.0005934718100890207,0.7373380447585395
1.0,43,test,30,18288,41,1995,0.16681711138034203,0.16762357898409364,0.008849557522123894,0.592391304347826
1.0,47,train,30,54853,119,6186,0.23805691060159345,0.2741015711538019,0.0008061265618702137,0.9226804123711341
1.0,47,test,30,18288,44,1630,0.20989512829463783,0.23349523370678565,0.0007423904974016332,0.9545454545454546
infinity,7,train,30,54853,1828,1829,0.11403216235390672,0.006933302282995247,0.1012035010940919,0.13129102844638948
infinity,7,test,30,18288,609,610,0.11400486329824941,0.010498492585182647,0.090311986863711,0.13114754098360656
infinity,11,train,30,54853,1828,1829,0.11403270072608461,0.007263030493779986,0.09950792782941498,0.1274617067833698
infinity,11,test,30,18288,609,610,0.11400988810824879,0.01433566191002756,0.08688524590163935,0.13957307060755336
infinity,19,train,30,54853,1828,1829,0.11403193304723837,0.007385236015586918,0.09518599562363239,0.12957900492072172
infinity,19,test,30,18288,609,610,0.11400764488949905,0.011720477128402155,0.08702791461412152,0.1360655737704918
infinity,23,train,30,54853,1828,1829,0.11403175358984576,0.007061293551859396,0.10114816839803172,0.1263676148796499
infinity,23,test,30,18288,609,610,0.1140065681444992,0.01345509575569039,0.09523809523809523,0.14754098360655737
infinity,29,train,30,54853,1828,1829,0.11403260102753315,0.007062365492290773,0.1012035010940919,0.1323851203501094
infinity,29,test,30,18288,609,610,0.11401213132699846,0.013249320178599429,0.08688524590163935,0.1510673234811166
infinity,31,train,30,54853,1828,1829,0.11403212247448614,0.006609727436592261,0.0962800875273523,0.12527352297592997
infinity,31,test,30,18288,609,610,0.1140097086507488,0.012112512079373791,0.09672131147540984,0.1444991789819376
infinity,37,train,30,54853,1828,1829,0.11403251129883682,0.00685707978808724,0.10278840896664844,0.1301969365426696
infinity,37,test,30,18288,609,610,0.11400845244824893,0.01444042457703108,0.08688524590163935,0.1592775041050903
infinity,41,train,30,54853,1828,1829,0.11403159407216343,0.006101992718217011,0.10284463894967177,0.13012575177692728
infinity,41,test,30,18288,609,610,0.11400531194199932,0.01185653801822509,0.09359605911330049,0.14426229508196722
infinity,43,train,30,54853,1828,1829,0.11403170374057,0.006828024794452457,0.09956236323851203,0.12629852378348824
infinity,43,test,30,18288,609,610,0.11400773461824905,0.01169915497197411,0.08374384236453201,0.1377049180327869
infinity,47,train,30,54853,1828,1829,0.11403176355970089,0.006543986016791278,0.09682713347921225,0.12465828321487152
infinity,47,test,30,18288,609,610,0.11401015729449873,0.011895773477897555,0.08360655737704918,0.13442622950819672
