run_type,seed,alpha,round,loss,accuracy,worst_client_accuracy,upload_bytes,download_bytes,total_comm_bytes,selected_clients,best_loss_so_far,best_round,rounds_since_improvement,stopped_early,auroc,auprc,balanced_accuracy,sensitivity,specificity,worst_client_recall,worst_client_auprc,drift_mean_update_norm,drift_avg_update_norm,method,beta
dirichlet_beta_0p1_cvar_0.9,47,0.9,1,0.47147641056462336,0.8195554896404869,0.6000000238418579,81760,81760,163520,11 2 13 14 9 5 4 8 6 10,0.47147641056462336,1,0,False,0.8435000947939674,0.5211326300883833,0.7680529904785207,0.745538284398388,0.7905676965586536,0.0,0.0,0.4096610203385353,0.5828849673271179,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,2,0.4395592981263211,0.7894388656867178,0.6000000238418579,81760,81760,163520,1 13 0 3 16 4 12 7 8 14,0.4395592981263211,2,0,False,0.8900688966314808,0.5585944425735266,0.7996570714347382,0.874496257915947,0.7248178849535293,0.0,0.0,0.4028094202280045,0.39831581711769104,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,3,0.4235890970418328,0.8253325474889655,0.6000000238418579,81760,81760,163520,10 13 7 16 8 14 5 15 3 0,0.4235890970418328,3,0,False,0.876683623290075,0.5368323571008152,0.7949160173171441,0.7679907887161773,0.821841245918111,0.0,0.0,0.3472607061266899,0.3417603373527527,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,4,0.4603593510232474,0.7926659740899739,0.6558627486228943,81760,81760,163520,17 11 18 10 8 9 12 3 16 0,0.4235890970418328,3,1,False,0.887656314239905,0.5504173262958114,0.7903270782330056,0.8911917098445595,0.6894624466214518,0.0,0.0,0.3371263474225998,0.26275479793548584,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,5,0.4146887730610998,0.8080786121518988,0.6000000238418579,81760,81760,163520,4 10 3 11 9 6 8 12 18 1,0.4146887730610998,5,0,False,0.8872407681449463,0.5245710006775813,0.8051093514574192,0.8595279217040875,0.7506907812107511,0.0,0.0,0.4021436244249344,0.3785449266433716,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,6,0.3848564820854287,0.8289317865120737,0.6000000238418579,81760,81760,163520,7 10 6 15 11 1 12 16 9 5,0.3848564820854287,6,0,False,0.896969929994185,0.5516006548560407,0.8127806129200056,0.8468624064478987,0.7786988193921125,0.0,0.0,0.40391200929880144,0.2804796099662781,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,7,0.355354086348885,0.8508677561032144,0.4000000059604645,81760,81760,163520,9 7 8 11 16 18 0 17 4 13,0.355354086348885,7,0,False,0.8838014680266673,0.5594697062518549,0.7695386744202493,0.6229130685089235,0.9161642803315749,0.0,0.0,0.37240488082170486,0.4137081801891327,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,8,0.5338531708050716,0.7949682756474143,0.6644423007965088,81760,81760,163520,12 8 16 7 9 1 10 3 6 15,0.355354086348885,7,1,False,0.8916077078558385,0.5313859441155115,0.7985488822337884,0.90097869890616,0.6961190655614168,0.0,0.0,0.41869414448738096,0.4834389388561249,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,9,0.3709611957402606,0.8334577303183707,0.6000000238418579,81760,81760,163520,8 17 4 14 0 2 18 10 1 11,0.355354086348885,7,2,False,0.8933419638504542,0.5527209560526917,0.8133974244674292,0.8318940702360391,0.7949007786988194,0.0,0.0,0.41832072734832765,0.3936287760734558,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,10,0.40628712389029953,0.8201766359178644,0.4000000059604645,81760,81760,163520,8 16 15 13 5 12 0 9 4 11,0.355354086348885,7,3,False,0.8786018996103687,0.5561435989357822,0.7008126142354074,0.43120322394933797,0.970422004521477,0.0,0.0,0.40435565561056136,0.44031697511672974,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,11,0.39096415689901304,0.8088850755440561,0.4000000059604645,81760,81760,163520,16 15 10 0 9 3 13 5 6 2,0.355354086348885,7,4,False,0.8753937094983555,0.5346271569514847,0.7108095274661724,0.4634427173287277,0.9581763376036172,0.0,0.0,0.34653816670179366,0.2695344090461731,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,12,0.34217839590028715,0.8257235586643219,0.4000000059604645,81760,81760,163520,5 15 6 4 1 2 11 9 18 8,0.34217839590028715,12,0,False,0.8934154454441555,0.551085388400936,0.7543707719612893,0.5780080598733448,0.9307334840492338,0.0,0.0,0.48420359641313554,0.3032406270503998,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,13,0.3633857643917987,0.8435025466115851,0.6000000238418579,81760,81760,163520,12 3 8 14 0 10 1 6 18 5,0.34217839590028715,12,1,False,0.8897344243244069,0.5219463597621908,0.8072515975061161,0.788140472078296,0.8263627229339362,0.0,0.0,0.3857883632183075,0.3394199311733246,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,14,0.3285568015355813,0.8630701240740324,0.6000000238418579,81760,81760,163520,0 8 1 4 2 11 17 7 3 13,0.3285568015355813,14,0,False,0.8934336847868479,0.5556419964390144,0.7895535421056582,0.6896948762233737,0.8894122079879427,0.0,0.0,0.4575923219323158,0.3296777606010437,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,15,0.36682134778483916,0.8362421314967307,0.4000000059604645,81760,81760,163520,16 14 0 2 15 13 17 8 5 18,0.3285568015355813,14,1,False,0.8840637783356955,0.532442674824191,0.7674875347017505,0.6286701208981001,0.9063049485054007,0.0,0.0,0.40236095786094667,0.28364473581314087,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,16,0.3376321490657957,0.8588988592750147,0.6000000238418579,81760,81760,163520,7 1 12 3 0 17 4 14 8 16,0.3285568015355813,14,2,False,0.8915771040826193,0.543604489416249,0.7868057101109371,0.6810592976396085,0.8925521225822658,0.0,0.0,0.45613521337509155,0.31972455978393555,dirichlet_beta_0p1_cvar_0.9,0.1
