run_type,seed,alpha,round,loss,accuracy,worst_client_accuracy,upload_bytes,download_bytes,total_comm_bytes,selected_clients,best_loss_so_far,best_round,rounds_since_improvement,stopped_early,auroc,auprc,balanced_accuracy,sensitivity,specificity,worst_client_recall,worst_client_auprc,mu,drift_mean_update_norm,drift_avg_update_norm,method,beta
dirichlet_beta_0p1_fedprox,29,,1,0.4585871994495392,0.7843222841620445,0.6060606241226196,81760,81760,163520,2 5 9 13 4 1 8 14 6 3,0.4585871994495392,1,0,False,0.8604700575273632,0.6995063779653141,0.7784945789868665,0.757473481195757,0.7995156767779761,0.0,0.0,0.01,0.4939643993973732,0.6141335368156433,dirichlet_beta_0p1_fedprox,0.1
dirichlet_beta_0p1_fedprox,29,,2,0.4727389719337225,0.7500999756157398,0.6538461446762085,81760,81760,163520,0 15 1 7 10 3 5 13 12 2,0.4585871994495392,1,1,False,0.8588702828385673,0.6965710345024848,0.7683391668598338,0.7449373191899711,0.7917410145296967,0.0,0.0,0.01,0.3584958970546722,0.3638293445110321,dirichlet_beta_0p1_fedprox,0.1
dirichlet_beta_0p1_fedprox,29,,3,0.5073957983404398,0.7220319416373968,0.4545454680919647,81760,81760,163520,13 15 11 3 7 2 12 6 8 5,0.4585871994495392,1,2,False,0.8572261083720836,0.6859459369250528,0.7462919272170576,0.5848601735776278,0.9077236808564874,0.0,0.0,0.01,0.38124387711286545,0.5118707418441772,dirichlet_beta_0p1_fedprox,0.1
dirichlet_beta_0p1_fedprox,29,,4,0.5608497569337487,0.7049167361110449,0.4545454680919647,81760,81760,163520,6 8 10 15 4 11 14 3 12 7,0.4585871994495392,1,3,False,0.865679088608068,0.6966441611347496,0.7303204822043232,0.517357762777242,0.9432832016314046,0.0,0.0,0.01,0.43665518164634703,0.4376031458377838,dirichlet_beta_0p1_fedprox,0.1
dirichlet_beta_0p1_fedprox,29,,5,0.613426923751831,0.7009056210517883,0.45110929012298584,81760,81760,163520,15 8 2 12 4 11 9 7 6 14,0.4585871994495392,1,4,False,0.8556653870517588,0.6818615673537454,0.7043661850309882,0.4513018322082932,0.9574305378536834,0.0,0.0,0.01,0.4103406697511673,0.4786427915096283,dirichlet_beta_0p1_fedprox,0.1
dirichlet_beta_0p1_fedprox,29,,6,0.7741117556579411,0.6750605963170528,0.3333333432674408,81760,81760,163520,3 11 5 2 4 12 13 1 6 8,0.4585871994495392,1,5,False,0.8493853227178637,0.6788594432893125,0.6870162267821426,0.40742526518804245,0.9666071883762427,0.0,0.0,0.01,0.40665152072906496,0.47446340322494507,dirichlet_beta_0p1_fedprox,0.1
dirichlet_beta_0p1_fedprox,29,,7,0.5629384685307741,0.7265822645276785,0.4545454680919647,81760,81760,163520,13 10 14 6 7 4 9 2 5 11,0.4585871994495392,1,6,False,0.8856838155712509,0.7230407469109105,0.7553717892969066,0.5882352941176471,0.9225082844761662,0.0,0.0,0.01,0.46659335792064666,0.4385400712490082,dirichlet_beta_0p1_fedprox,0.1
dirichlet_beta_0p1_fedprox,29,,8,0.8473758255131543,0.6461059413850307,0.3030303120613098,81760,81760,163520,6 10 4 0 12 15 14 8 2 3,0.4585871994495392,1,7,False,0.8378650399161685,0.6745110477701012,0.6622589107434803,0.34185149469623916,0.9826663267907214,0.0,0.0,0.01,0.49152306616306307,0.4716120958328247,dirichlet_beta_0p1_fedprox,0.1
dirichlet_beta_0p1_fedprox,29,,9,0.6692830459214747,0.7156242094933987,0.4848484992980957,81760,81760,163520,4 15 0 13 11 12 14 1 10 5,0.4585871994495392,1,8,False,0.8782792846184914,0.7071453706390997,0.7319028349734314,0.5221793635486982,0.9416263063981647,0.0,0.0,0.01,0.42490619122982026,0.3983566462993622,dirichlet_beta_0p1_fedprox,0.1
dirichlet_beta_0p1_fedprox,29,,10,0.8149987948127091,0.6936051528900862,0.3333333432674408,81760,81760,163520,1 0 8 12 14 2 10 7 5 15,0.4585871994495392,1,9,False,0.8677876325141323,0.6899485057779634,0.6995139192227624,0.4382835101253616,0.9607443283201631,0.0,0.0,0.01,0.4686772897839546,0.5014075040817261,dirichlet_beta_0p1_fedprox,0.1
