evaluation,local_epochs,clients_per_round,lr,loss,accuracy,auprc,comm,fitness
1,1,8,0.0026239678632110144,0.4368013259437349,0.813605354891883,0.5727445292801772,3924480,0.4760461259437349
2,1,3,0.01833472815717887,0.7475942058695687,0.8211163149939643,0.5666980290888352,1471680,0.7623110058695687
3,2,4,0.008967850470304699,0.39826357033517623,0.8506037526660495,0.6002182673865192,1962240,0.4178859703351762
4,2,9,0.005015057871443508,0.36508914911084706,0.8532692193984985,0.6058697742222419,4415040,0.40923954911084703
5,1,4,0.009996935501822308,0.48557433982690174,0.8252532614601983,0.5902540704408223,1962240,0.5051967398269017
6,2,7,0.013495580105104219,0.46837906870577073,0.8502893116739061,0.5957183545203969,3433920,0.5027182687057707
7,2,6,0.014271104517790841,0.5970889222290781,0.8413956231541104,0.5679151983782007,2943360,0.626522522229078
8,3,5,0.01626237592110762,0.48485077172517776,0.8571906553374397,0.5922740358686633,1962240,0.5044731717251778
9,2,6,0.0033944633678853094,0.38313423842191696,0.8444490631421407,0.5997219195141293,2943360,0.41256783842191697
10,1,5,0.007967246079545463,0.4639577186769909,0.8260595268673367,0.5757881643434405,2452800,0.4884857186769909
11,1,6,0.0014627652998542764,0.44910477432939744,0.8018803464041816,0.6043067562261644,2943360,0.47853837432939744
12,3,4,0.011948628283239787,0.4037412247724003,0.853085007932451,0.614939416895673,1569792,0.4194391447724003
13,2,9,0.01509481049738575,0.47894466502798927,0.8576090402073331,0.5945498023753731,4415040,0.5230950650279893
14,2,4,0.010993739129730815,0.4199380965696441,0.8495749831199646,0.6013826917232653,1962240,0.4395604965696441
15,2,7,0.019496400989974363,0.5645989262395434,0.8488610651757982,0.5868138095183267,3433920,0.5989381262395435
16,2,5,0.005526375910380661,0.3910852058066262,0.8478826748000251,0.5839199544648076,2452800,0.4156132058066262
17,3,8,0.006755019737474222,0.34044596883985734,0.868330200513204,0.6103746687006592,3924480,0.37969076883985736
18,3,7,0.01779011345078458,0.5372770784629716,0.8607737885581123,0.5869466838051943,3433920,0.5716162784629716
19,2,8,0.008539276777881077,0.4001952045493656,0.8526156809594896,0.5938088003529315,3924480,0.4394400045493656
20,2,4,0.013656230464958261,0.4958832561969757,0.8415832784440782,0.5881902260440628,1569792,0.5115811761969757
21,2,4,0.004743431910933426,0.3900447032517857,0.8430974549717374,0.5920308631346892,1962240,0.4096671032517857
22,2,8,0.003556838714249066,0.3750436595744557,0.8431105746163262,0.6010135714320787,3924480,0.4142884595744557
23,1,8,0.016854651271425443,0.5696218932668368,0.833927657869127,0.5792944875152184,3924480,0.6088666932668367
24,3,5,0.00594754371233199,0.3669124013847775,0.8551696605152554,0.6061352227855418,2452800,0.3914404013847775
25,2,9,0.011222307526853988,0.4277617020739449,0.8562595314449735,0.5970304429341632,4415040,0.4719121020739449
26,3,9,0.001888588511523362,0.36218608336316216,0.8462794423103333,0.6028493538797758,4415040,0.40633648336316214
27,3,6,0.006271674492294372,0.3876088129149543,0.8531430032518175,0.5969845761096201,2845248,0.4160612929149543
28,2,8,0.007967246079545463,0.39407819426721996,0.851933393213484,0.5940728988514036,3924480,0.43332299426722
29,1,9,0.0014627652998542764,0.48563454548517865,0.7858363257514106,0.5683383643105436,4415040,0.5297849454851786
30,3,8,0.01583328847761154,0.46974634793069625,0.8660594622294108,0.5949225219198737,3924480,0.5089911479306962
31,2,3,0.001893250135625104,0.40103720625241596,0.8254996670616997,0.5881180360043546,1471680,0.41575400625241593
32,2,6,0.007969966932069316,0.44025202095508575,0.8443644775284661,0.5906794008464276,2943360,0.46968562095508576
33,2,5,0.006497336794559344,0.40127063790957135,0.8479131990008884,0.5866673042743884,2452800,0.42579863790957134
34,2,7,0.008684755359615564,0.4026252056161563,0.8534795575671725,0.596409327411979,3433920,0.4369644056161563
35,2,8,0.005586760375490301,0.3777605849835608,0.8494716617796156,0.5980732335091229,3924480,0.4170053849835608
36,3,7,0.003039436223947055,0.33960194968514973,0.8615548014640808,0.6081333914019437,3433920,0.37394114968514974
37,3,6,0.015831048254543862,0.5216340819994608,0.8573982119560242,0.5819067523471608,2943360,0.5510676819994608
38,2,7,0.002305659687217099,0.36027080068985623,0.8471983737415738,0.6034392568184687,3433920,0.39461000068985624
39,3,4,0.004743431910933426,0.3558819683061706,0.8580581612057157,0.6046263235996774,1962240,0.37550436830617057
40,3,9,0.002380369046265979,0.3584692370560434,0.848476959599389,0.603743930012575,4415040,0.40261963705604337
41,2,5,0.0038559846120840716,0.3800537313024203,0.8448732429080539,0.5819018894558005,2452800,0.4045817313024203
42,2,7,0.004050546030184787,0.3555946300427119,0.8535108632511563,0.6016596569386985,3433920,0.3899338300427119
43,2,6,0.011222307526853988,0.5151273699270355,0.8416068090332879,0.5796338024520695,2943360,0.5445609699270354
44,3,6,0.01297276040439313,0.46954984797371757,0.861417313416799,0.5843742321247772,2943360,0.4989834479737176
45,3,5,0.0034588491539252293,0.35012204200029373,0.8532209595044454,0.6127984088512778,2452800,0.3746500420002937
46,3,6,0.007967246079545463,0.4144977281490962,0.8522253897455003,0.5921259710031149,2845248,0.4429502081490962
47,3,8,0.00582635038852872,0.33621954503986573,0.8666485945383707,0.611925278854357,3924480,0.37546434503986575
48,3,4,0.002901080769172503,0.3488566022780206,0.8531418707635667,0.6151571104042896,1962240,0.3684790022780206
49,2,5,0.001893250135625104,0.3880720337231954,0.8315381341510348,0.5902821860676261,2452800,0.41260003372319537
50,3,7,0.010993739129730815,0.41018343799644047,0.8633203175332811,0.5948269312443961,3433920,0.4445226379964405
51,2,3,0.0013591519816374374,0.48924776580598617,0.7909188071886698,0.4760779438919568,1275456,0.5020023258059861
52,2,6,0.01581695758617155,0.6422455650236871,0.8405043747689989,0.5633880195987117,2943360,0.6716791650236871
53,2,6,0.0022482625859129232,0.3824303514427609,0.8393048048019409,0.6033944418225106,2943360,0.4118639514427609
54,2,5,0.003912060848100702,0.3803946152329445,0.8448160290718079,0.5820506295639344,2452800,0.4049226152329445
55,2,6,0.01656997708434111,0.6440488191114532,0.8417028917206658,0.5686542807281327,2943360,0.6734824191114531
56,2,8,0.002305659687217099,0.3806357491347525,0.8372996979289584,0.5997472991869914,3924480,0.41988054913475253
57,3,7,0.002896469742591605,0.33924000793033177,0.8610985279083252,0.6091831481790265,3433920,0.3735792079303318
58,3,8,0.0036118384441253997,0.3335703851448165,0.8651203910509745,0.6148838192595588,3924480,0.37281518514481654
59,3,5,0.006791490938600543,0.37619446880287594,0.8558938966857063,0.6022283451495468,2452800,0.40072246880287593
60,3,4,0.003626892855572902,0.3497215087215106,0.8569341434372796,0.6124163933406488,1962240,0.36934390872151057
61,2,4,0.003626892855572902,0.3822416423095597,0.8411104877789816,0.594252183628169,1962240,0.4018640423095597
62,2,4,0.003619014851819211,0.3834851947095659,0.8400343325403001,0.592990482753921,1962240,0.40310759470956586
63,3,7,0.002896519790924215,0.3394540316528744,0.8607364230685763,0.6086541829557642,3433920,0.3737932316528744
64,2,4,0.007967246079545463,0.39521825727489257,0.8494027521875169,0.5991580895752836,1962240,0.41484065727489255
65,3,9,0.00582635038852872,0.37169260034958523,0.8534180058373345,0.5963850613946023,4415040,0.4158430003495852
66,3,5,0.004779946731875803,0.35636664513084626,0.8523179557588365,0.6117353528089045,2452800,0.38089464513084625
67,3,4,0.005799110826557191,0.35857372482617694,0.8600547512372335,0.6019181327506393,1962240,0.3781961248261769
68,2,4,0.0021752686827721038,0.3911849326557583,0.8322580787870619,0.5884766174573592,1962240,0.4108073326557583
69,2,8,0.004322057924416817,0.376058897210492,0.8460867338710361,0.5997103611066321,3924480,0.41530369721049204
70,1,5,0.005526375910380661,0.4313870171705882,0.824679348203871,0.5836506283956548,2452800,0.4559150171705882
71,3,7,0.0022482625859129232,0.3392308122581906,0.8599127332369486,0.6125817902205869,3433920,0.3735700122581906
72,3,4,0.004152464170256504,0.35272316634655,0.8572629027896457,0.608294659237873,1962240,0.37234556634654997
73,3,4,0.002901080769172503,0.34870389186673695,0.8534718619452583,0.6153009762269502,1962240,0.36832629186673693
74,2,4,0.002305659687217099,0.3875262588262558,0.8345954285727607,0.590734054267001,1962240,0.4071486588262558
75,2,4,0.002589520907104381,0.38430431650744545,0.8381390372912089,0.5916772341955302,1962240,0.40392671650744544
76,3,6,0.0029443517197723437,0.34432584212885964,0.858818358845181,0.610406023068772,2943360,0.37375944212885964
77,2,5,0.002025480473644172,0.38775265713532764,0.8333373135990567,0.5882685221390196,2452800,0.41228065713532763
78,2,3,0.003370090288244606,0.3890975597831938,0.8342599405182732,0.5941592953776779,1471680,0.4038143597831938
79,3,6,0.01562425345894249,0.5136875642670525,0.8610043393241035,0.5820554413340193,2943360,0.5431211642670525
80,2,4,0.003746172662292267,0.3819221241606606,0.8411873843934801,0.5946220065811413,1962240,0.4015445241606606
81,2,3,0.002896519790924215,0.39066004587544334,0.8319530685742696,0.5932667843343478,1471680,0.4053768458754433
82,2,4,0.0025168221030617798,0.37927884939644074,0.8399240440792508,0.5964426597109483,1962240,0.3989012493964407
83,3,6,0.0037526825674325795,0.34383494986428154,0.8595321443345811,0.6089995443541735,2943360,0.37326854986428154
84,3,5,0.0020471414249144462,0.35456886887550354,0.8490245739618937,0.6094272590865829,2452800,0.37909686887550353
85,2,8,0.005799110826557191,0.37883618142869735,0.8499749567773607,0.5977035898773857,3924480,0.4180809814286974
86,3,7,0.003026258326083396,0.339597563776705,0.8614329761928983,0.6081759733071782,3433920,0.37393676377670504
87,2,8,0.002548113807347055,0.3777971226308081,0.8398849897914462,0.6006929917087095,3924480,0.41704192263080814
88,2,4,0.002159257863425105,0.39517785277631545,0.8301230072975159,0.5859070263354286,1962240,0.41480025277631544
89,2,6,0.003334047571055909,0.38385166393385994,0.8435834778679742,0.5996837564464877,2943360,0.41328526393385995
90,3,3,0.0047024932331356665,0.37294990983274245,0.8531751831372579,0.5872419456843877,1471680,0.38766670983274243
