baseline,method,metric,n,mean_diff,cohens_d
logreg_fedavg,dirichlet_beta_0p1_cvar_0.9,final_loss,10,0.9832133462544987,1.5321730050341638
logreg_fedavg,dirichlet_beta_0p1_cvar_0.9,final_accuracy,10,-0.18788517750644135,-1.7697497909070872
logreg_fedavg,dirichlet_beta_0p1_cvar_0.9,final_auroc,10,-0.052654907298074136,-1.0737861682688692
logreg_fedavg,dirichlet_beta_0p1_cvar_0.9,final_auprc,10,-0.08244148694295365,-0.6931749537936711
logreg_fedavg,dirichlet_beta_0p1_cvar_0.9,final_worst_client_accuracy,10,-0.6777825514785946,-4.857287035466964
logreg_fedavg,dirichlet_beta_0p1_cvar_0.9,final_worst_client_recall,10,-0.45,-6.3639610305889285
logreg_fedavg,dirichlet_beta_0p1_cvar_0.9,total_comm_until_stop,10,-3311280.0,-5.197340793773675
logreg_fedavg,dirichlet_beta_0p1_cvar_0.9,stopped_round,10,-59.2,-13.107100305990507
logreg_fedavg,dirichlet_beta_0p1_fedavg,final_loss,10,0.9784471276431329,1.5755056995178498
logreg_fedavg,dirichlet_beta_0p1_fedavg,final_accuracy,10,-0.18602529254156736,-1.7564491409243832
logreg_fedavg,dirichlet_beta_0p1_fedavg,final_auroc,10,-0.05210327385785433,-1.1029036143468967
logreg_fedavg,dirichlet_beta_0p1_fedavg,final_auprc,10,-0.08138253179084395,-0.689428991352028
logreg_fedavg,dirichlet_beta_0p1_fedavg,final_worst_client_accuracy,10,-0.6763637389056385,-4.81558033774123
logreg_fedavg,dirichlet_beta_0p1_fedavg,final_worst_client_recall,10,-0.45,-6.3639610305889285
logreg_fedavg,dirichlet_beta_0p1_fedavg,total_comm_until_stop,10,-3311280.0,-5.197340793773675
logreg_fedavg,dirichlet_beta_0p1_fedavg,stopped_round,10,-59.2,-13.107100305990507
logreg_fedavg,dirichlet_beta_0p1_fedprox,final_loss,10,0.8397037322620587,1.5983449797441833
logreg_fedavg,dirichlet_beta_0p1_fedprox,final_accuracy,10,-0.17857250132058566,-1.6846281624343258
logreg_fedavg,dirichlet_beta_0p1_fedprox,final_auroc,10,-0.03673428674959702,-1.319776517393424
logreg_fedavg,dirichlet_beta_0p1_fedprox,final_auprc,10,-0.05746813176371529,-0.6747280521064235
logreg_fedavg,dirichlet_beta_0p1_fedprox,final_worst_client_accuracy,10,-0.6672681014984846,-4.636838400045803
logreg_fedavg,dirichlet_beta_0p1_fedprox,final_worst_client_recall,10,-0.45,-6.3639610305889285
logreg_fedavg,dirichlet_beta_0p1_fedprox,total_comm_until_stop,10,-3311280.0,-5.197340793773675
logreg_fedavg,dirichlet_beta_0p1_fedprox,stopped_round,10,-59.2,-13.107100305990507
logreg_fedavg,dirichlet_beta_0p5_fedavg,final_loss,10,0.02445838541149294,0.3978115497210149
logreg_fedavg,dirichlet_beta_0p5_fedavg,final_accuracy,10,-0.01228269355963929,-0.5901320658256621
logreg_fedavg,dirichlet_beta_0p5_fedavg,final_auroc,10,-0.006669802412172488,-0.3384465194498528
logreg_fedavg,dirichlet_beta_0p5_fedavg,final_auprc,10,-0.009368737213897216,-0.32393998938281016
logreg_fedavg,dirichlet_beta_0p5_fedavg,final_worst_client_accuracy,10,-0.20968725979328157,-1.2331200825148012
logreg_fedavg,dirichlet_beta_0p5_fedavg,final_worst_client_recall,10,-0.39285714285714285,-2.8801470102426423
logreg_fedavg,dirichlet_beta_0p5_fedavg,total_comm_until_stop,10,-57232.0,-0.03979943250565253
logreg_fedavg,dirichlet_beta_0p5_fedavg,stopped_round,10,-39.3,-4.520926200431042
logreg_fedavg,dirichlet_beta_0p5_fedprox,final_loss,10,0.022885877065845835,0.3758200217662261
logreg_fedavg,dirichlet_beta_0p5_fedprox,final_accuracy,10,-0.012028644234512942,-0.573416345990759
logreg_fedavg,dirichlet_beta_0p5_fedprox,final_auroc,10,-0.0061577950978785045,-0.31481987021558866
logreg_fedavg,dirichlet_beta_0p5_fedprox,final_auprc,10,-0.006357078751085899,-0.23755344379259188
logreg_fedavg,dirichlet_beta_0p5_fedprox,final_worst_client_accuracy,10,-0.21499248147010802,-1.2015791634835649
logreg_fedavg,dirichlet_beta_0p5_fedprox,final_worst_client_recall,10,-0.39285714285714285,-2.8801470102426423
logreg_fedavg,dirichlet_beta_0p5_fedprox,total_comm_until_stop,10,-57232.0,-0.03979943250565253
logreg_fedavg,dirichlet_beta_0p5_fedprox,stopped_round,10,-39.3,-4.520926200431042
logreg_fedavg,dirichlet_beta_1p0_fedavg,final_loss,10,-0.023811696635352243,-0.6055153813221169
logreg_fedavg,dirichlet_beta_1p0_fedavg,final_accuracy,10,0.005823525455262923,0.3362384714695287
logreg_fedavg,dirichlet_beta_1p0_fedavg,final_auroc,10,-0.00016244142253315496,-0.02151614649175261
logreg_fedavg,dirichlet_beta_1p0_fedavg,final_auprc,10,0.0015035829583541216,0.09171039417970692
logreg_fedavg,dirichlet_beta_1p0_fedavg,final_worst_client_accuracy,10,-0.083683842420578,-1.108044363510614
logreg_fedavg,dirichlet_beta_1p0_fedavg,final_worst_client_recall,10,-0.14666666666666667,-0.5456139005861446
logreg_fedavg,dirichlet_beta_1p0_fedavg,total_comm_until_stop,10,2411920.0,2.1810338360482273
logreg_fedavg,dirichlet_beta_1p0_fedavg,stopped_round,10,-24.2,-3.1253643227211167
logreg_fedavg,dirichlet_beta_1p0_fedprox,final_loss,10,-0.02499286998477248,-0.7168861631603366
logreg_fedavg,dirichlet_beta_1p0_fedprox,final_accuracy,10,0.00567279246118334,0.3672726053873955
logreg_fedavg,dirichlet_beta_1p0_fedprox,final_auroc,10,-0.0022797847631911283,-0.28587565473284704
logreg_fedavg,dirichlet_beta_1p0_fedprox,final_auprc,10,0.0016876688739702384,0.105181638450862
logreg_fedavg,dirichlet_beta_1p0_fedprox,final_worst_client_accuracy,10,-0.09054127335548401,-1.110059274825452
logreg_fedavg,dirichlet_beta_1p0_fedprox,final_worst_client_recall,10,-0.19523809523809527,-0.7308750763497459
logreg_fedavg,dirichlet_beta_1p0_fedprox,total_comm_until_stop,10,2722608.0,2.0190678397179016
