bin,lower,upper,count,accuracy,confidence,gap
0,0.0,0.1,0,0.0,0.0,0.0
1,0.1,0.2,0,0.0,0.0,0.0
2,0.2,0.30000000000000004,0,0.0,0.0,0.0
3,0.30000000000000004,0.4,0,0.0,0.0,0.0
4,0.4,0.5,0,0.0,0.0,0.0
5,0.5,0.6000000000000001,2922,0.609514031485284,0.553301859828073,0.05621217165721104
6,0.6000000000000001,0.7000000000000001,2245,0.6721603563474388,0.6480717600055687,0.024088596341870105
7,0.7000000000000001,0.8,2189,0.7711283691183188,0.7509427483956418,0.020185620722677045
8,0.8,0.9,2568,0.8695482866043613,0.8536546886942097,0.015893597910151658
9,0.9,1.0,8364,0.9751315160210425,0.9698447315588002,0.005286784462242289
