method,seed,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc,failure_type,description
fedavg_default,7,39,True,14,0.32655315349499386,0.3794770720932219,0.8774623076121012,0.802972674369812,472545840,0.8820965889758107,0.6254421209924927,0.7947206241672096,0.7280575539568346,0.8613836943775844,0.2,0.21171361555374835,low_average_accuracy,Average accuracy remains below 0.90.
fedavg_default,11,38,True,13,0.31739943971236545,0.3814855217933655,0.8807966311772665,0.7947302460670471,460429280,0.889414874321613,0.6321691582212284,0.8005845351491442,0.7342925659472422,0.8668765043510461,0.2,0.1763679934339327,low_average_accuracy,Average accuracy remains below 0.90.
fedavg_default,19,39,True,14,0.30874937938319313,0.41669832666714984,0.8641561203532748,0.7939774394035339,472545840,0.8982748405978049,0.6520079037637311,0.8162537180031941,0.7913669064748201,0.8411405295315683,0.3,0.1606001189568123,low_average_accuracy,Average accuracy remains below 0.90.
fedavg_default,23,36,True,11,0.31168950017955566,0.4554060763782925,0.8501001066631741,0.7972396612167358,436196160,0.8851028416296772,0.6284944332781508,0.8043716036243399,0.7788968824940048,0.829846324754675,0.4,0.13529579558923724,low_average_accuracy,Average accuracy remains below 0.90.
fedavg_default,31,68,True,43,0.2891814857721329,0.4667355716228485,0.8363693025377061,0.7897114157676697,823926080,0.8802720460180644,0.6178531424080284,0.7925443685044558,0.7501199040767386,0.834968832932173,0.1,0.07187991057345611,low_average_accuracy,Average accuracy remains below 0.90.
fedavg_default,41,43,True,18,0.30836959100431865,0.40867503815227085,0.8685274190372891,0.7969887256622314,521012080,0.8989668402289834,0.6463206144414492,0.8119876104300785,0.7688249400479616,0.8551502808121952,0.3,0.17628700128700128,low_average_accuracy,Average accuracy remains below 0.90.
fedavg_default,43,42,True,17,0.32506612605518764,0.3999762584765752,0.8724228938420614,0.7994981408119202,508895520,0.9019710948515766,0.6531963376383315,0.8160784684601883,0.7760191846522781,0.8561377522680985,0.4,0.21900421103088916,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0,7,35,True,10,0.3234876866141955,0.40569626291592914,0.8728825847307841,0.7974905967712402,424079600,0.902300651609799,0.657493622848345,0.819637672568851,0.7836930455635491,0.8555822995741529,0.4,0.19696901227150335,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0,11,44,True,19,0.3282618737883038,0.3791102667649587,0.8886071112420824,0.8037641048431396,533128640,0.8852366949247488,0.6261937822933379,0.8021073013834812,0.7251798561151079,0.8790347466518545,0.2,0.13155417278829257,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0,19,77,True,52,0.2918349223004447,0.3930767211649153,0.8776323397954305,0.8427037000656128,932975120,0.8800937328271062,0.6034278028012225,0.7726074796522715,0.6580335731414868,0.8871813861630562,0.3,0.09495459342500094,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0,23,57,True,32,0.30107957455847,0.686475912729899,0.6892819404602051,0.5254902243614197,690643920,0.8621828624861636,0.5945667211359816,0.7717926824990664,0.8014388489208633,0.7421465160772697,0.7,0.05648000670765193,low_worst_client_accuracy,Worst-client accuracy remains below 0.70.
cvar_0,23,57,True,32,0.30107957455847,0.686475912729899,0.6892819404602051,0.5254902243614197,690643920,0.8621828624861636,0.5945667211359816,0.7717926824990664,0.8014388489208633,0.7421465160772697,0.7,0.05648000670765193,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0,31,68,True,43,0.2891814857721329,0.4667355716228485,0.8363693025377061,0.7897114157676697,823926080,0.8802720460180644,0.6178531424080284,0.7925443685044558,0.7501199040767386,0.834968832932173,0.1,0.07187991057345611,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0,41,43,True,18,0.30836959100431865,0.40867503815227085,0.8685274190372891,0.7969887256622314,521012080,0.8989668402289834,0.6463206144414492,0.8119876104300785,0.7688249400479616,0.8551502808121952,0.3,0.17628700128700128,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0,43,42,True,17,0.32506612605518764,0.3999762584765752,0.8724228938420614,0.7994981408119202,508895520,0.9019710948515766,0.6531963376383315,0.8160784684601883,0.7760191846522781,0.8561377522680985,0.4,0.21900421103088916,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.5,7,46,True,21,0.3240092909998364,0.4323688745498657,0.8184616764386495,0.7096439599990845,557361760,0.8826218047964888,0.6218784437960986,0.7929239056449712,0.7851318944844125,0.8007159168055299,0.4,0.1435875956981895,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.5,11,92,True,67,0.3032108611530728,0.39159219298097825,0.892000847392612,0.8271016478538513,1114723520,0.8740287902986258,0.5938442937755724,0.7704290483554648,0.6446043165467625,0.8962537801641671,0.0,0.09735659311355349,low_average_accuracy,Average accuracy remains below 0.90.
