budget,loss,cost,lambda,status,primal_feasible,dual_feasible,complementary_slackness,stationarity_residual,budget_slack,budget_tolerance,kkt_status
159938592.0,0.3181323956449792,159938592.06319475,1.3323579657456254e-09,optimal,True,True,8.419803087344264e-11,2.382716246529526e-11,0.06319475173950195,159.93860206319474,pass
224707112.72727272,0.3098555736754134,224707112.7762492,1.27790836402934e-10,optimal,True,True,6.258745466058876e-12,4.0486847208143217e-10,0.04897648096084595,224.7071227762492,pass
289475633.45454544,0.3015787497461687,289475633.6729698,1.2779083473462506e-10,optimal,True,True,2.7912633824305205e-11,2.1665108596025107e-10,0.21842437982559204,289.4756436729698,pass
354244154.1818182,0.2958356550558215,334417071.5937984,4.332025860757777e-17,optimal,True,True,8.589143451468195e-10,1.96963673149142e-09,-19827082.58801979,354.2441641818181,pass
419012674.9090909,0.2958356474396332,334417056.3090044,2.4524056679447084e-19,optimal,True,True,2.0746277453814082e-11,3.998279485273315e-11,-84595618.60008645,419.0126849090908,pass
483781195.6363636,0.2958356515870263,334417072.24521697,2.9251751042350795e-18,optimal,True,True,4.369162152096787e-10,2.05120481711063e-09,-149364123.39114666,483.78120563636355,pass
548549716.3636364,0.29583565268119444,334417072.5276336,3.773004149551698e-18,optimal,True,True,8.079233537477143e-10,2.3897159806551826e-09,-214132643.83600277,548.5497263636363,pass
613318237.090909,0.29583564740182494,334417056.2191667,6.593106326088872e-20,optimal,True,True,1.838825139959141e-11,3.5304981160777515e-11,-278901180.8717423,613.3182470909089,pass
678086757.8181818,0.29583564743530133,334417056.2888842,9.617653394086508e-20,optimal,True,True,3.3052960713579454e-11,4.7315151796567534e-11,-343669701.52929753,678.0867678181817,pass
742855278.5454545,0.2958356474478875,334417056.32081974,1.0716717669245104e-19,optimal,True,True,4.377117112909802e-11,4.9787896028163914e-11,-408438222.22463477,742.8552885454544,pass
807623799.2727273,0.29583564744570157,334417056.3251225,1.0235491320123418e-19,optimal,True,True,4.843503510064082e-11,4.624534089003873e-11,-473206742.9476048,807.6238092727272,pass
872392320.0,0.2958356474390901,334417056.31889284,9.125469000708517e-20,optimal,True,True,4.909276591869934e-11,4.095251915359199e-11,-537975263.6811072,872.3923299999999,pass
