method,n,final_loss_mean,final_loss_std,final_accuracy_mean,final_accuracy_std,final_worst_client_accuracy_mean,final_worst_client_accuracy_std,final_auroc_mean,final_auroc_std,final_auprc_mean,final_auprc_std,final_balanced_accuracy_mean,final_balanced_accuracy_std,final_sensitivity_mean,final_sensitivity_std,final_specificity_mean,final_specificity_std,final_worst_client_recall_mean,final_worst_client_recall_std,final_worst_client_auprc_mean,final_worst_client_auprc_std,total_comm_until_stop_mean,total_comm_until_stop_std,stopped_round_mean,stopped_round_std
fedavg_default,10,0.3862621421615283,0.05490449532473065,0.8776143590609232,0.02516949431698826,0.8124464154243469,0.026573952443079193,0.8889167458849068,0.008434737050707776,0.6315615033460521,0.014487772463197036,0.7942078227808421,0.02019456323932279,0.7163549160671463,0.07620055173873826,0.872060729494538,0.03862619865459613,0.21000000000000002,0.13703203194062977,0.17060200446010923,0.05286466881078948,571901632.0,156298927.58835885,47.2,12.899612397277679
cvar_0,10,0.407548886206415,0.11046896006137985,0.8639535393979815,0.06579044220838721,0.7930707097053528,0.09837687817737545,0.8860189656088497,0.012665774001296825,0.6260419692276773,0.020952008142576865,0.7875097515026305,0.023903306261596476,0.7043165467625899,0.08672917885698775,0.8707029562426711,0.05797988427524995,0.26,0.2065591117977289,0.14992610629674102,0.06579526880752012,645812648.0,177162541.68169653,53.3,14.621521428664286
cvar_0.5,10,0.39784787562158375,0.050558637513288415,0.8732007112767961,0.02959496744354097,0.7737576305866242,0.08820469138509711,0.8758292177589164,0.014401086570090557,0.6137207793927655,0.02259857389553214,0.779596482044137,0.017244787035142723,0.6916067146282973,0.05796901584865927,0.8675862494599766,0.04330272206220902,0.16,0.12649110640673517,0.14460616905047868,0.030998536474884326,712453728.0,297112501.9931657,58.8,24.521192648174534
cvar_0.75,10,0.40743974828057816,0.08139160609919704,0.8663034154309166,0.041556743874050624,0.7207886695861816,0.2065940970105344,0.8783357287508264,0.01901919317174145,0.6146168628212854,0.03454150678915998,0.7845721526833338,0.023909523609495564,0.7145803357314149,0.0818846273803517,0.8545639696352527,0.06714173857654386,0.24,0.14298407059684812,0.16451604232929154,0.04882276357492511,579171568.0,124328475.53466286,47.8,10.261037417770627
cvar_0.9,10,0.40743974828057816,0.08139160609919704,0.8663034154309166,0.041556743874050624,0.7207886695861816,0.2065940970105344,0.8783357287508264,0.01901919317174145,0.6146168628212854,0.03454150678915998,0.7845721526833338,0.023909523609495564,0.7145803357314149,0.0818846273803517,0.8545639696352527,0.06714173857654386,0.24,0.14298407059684812,0.16451604232929154,0.04882276357492511,579171568.0,124328475.53466286,47.8,10.261037417770627
cvar_0.95,10,0.40743974828057816,0.08139160609919704,0.8663034154309166,0.041556743874050624,0.7207886695861816,0.2065940970105344,0.8783357287508264,0.01901919317174145,0.6146168628212854,0.03454150678915998,0.7845721526833338,0.023909523609495564,0.7145803357314149,0.0818846273803517,0.8545639696352527,0.06714173857654386,0.24,0.14298407059684812,0.16451604232929154,0.04882276357492511,579171568.0,124328475.53466286,47.8,10.261037417770627
centralized,10,0.5121195533623298,0.06414265406735925,0.9078136993779076,0.0035800667452547358,0.8548325955867767,0.005001211231351547,0.8781962824482127,0.006946863705038724,0.5850554693472296,0.007895318940311504,0.7597655332501263,0.009326639491289868,0.588968824940048,0.02370531866363166,0.9305622415602048,0.006013275995729599,0.16,0.12649110640673517,0.2153733228474736,0.06229697607645761,0.0,0.0,31.8,1.5491933384829666
local_only,1,0.0,0.0,0.9036112718400329,0.0,0.8522727272727273,0.0,0.8690466337553534,0.0,0.4590929495749547,0.0,0.714351322284763,0.0,0.4895224138985491,0.0,0.9391802306709766,0.0,0.0,0.0,0.11097936618033696,0.0,0.0,0.0,50.0,0.0
grid_best_validated,10,0.38921575695276256,0.0327511551782364,0.9012835880120595,0.011962472923655406,0.8420513927936554,0.020808810673587093,0.8594740604479941,0.029751642893440268,0.5981423585370439,0.031036273769501136,0.7718585198495527,0.023269334725211498,0.6298800959232613,0.07068518606794304,0.9138369437758438,0.025408732403792024,0.13,0.12516655570345725,0.136789095056895,0.07847051011593638,359134838.4,134976520.5933418,49.4,18.56639736489314
ga_best_validated,10,0.409460227853722,0.08988268030389493,0.8670167201095158,0.05095530579055598,0.7394282817840576,0.17528095645846287,0.8839254610013155,0.00905692847640311,0.6290102172914742,0.012167790178300277,0.7876085386088463,0.02267154482665981,0.721294964028777,0.09702391453288385,0.8539221131889156,0.08235140042042692,0.25000000000000006,0.17159383568311665,0.17974369835470858,0.053427359288787106,318423196.8,74911312.00795461,43.8,10.304260176149366
