method,seed,round,client_id,update_norm,cosine_to_mean,distance_to_mean
cvar_0,11,1,14,0.4099326431751251,0.8932785987854004,0.18625302612781525
cvar_0,11,1,27,0.44224852323532104,0.8823175430297852,0.2081703096628189
cvar_0,11,1,17,0.4079877734184265,0.8647980690002441,0.20882107317447662
cvar_0,11,1,24,0.4529978036880493,0.7730216383934021,0.2905919849872589
cvar_0,11,1,29,0.470348060131073,0.880014955997467,0.22434015572071075
cvar_0,11,1,25,0.5136523842811584,0.9040338397026062,0.23077771067619324
cvar_0,11,1,16,0.46292680501937866,0.9006038308143616,0.20258817076683044
cvar_0,11,1,18,0.5262867212295532,0.8808976411819458,0.25882524251937866
cvar_0,11,1,6,0.41909781098365784,0.832195520401001,0.2366124838590622
cvar_0,11,1,5,0.4309900403022766,0.8151734471321106,0.25314170122146606
cvar_0,11,2,25,0.5187225937843323,0.9120308756828308,0.22173243761062622
cvar_0,11,2,16,0.4752289950847626,0.9035374522209167,0.20450744032859802
cvar_0,11,2,15,0.4553714692592621,0.8582146763801575,0.23457498848438263
cvar_0,11,2,20,0.5467625856399536,0.89565509557724,0.25572213530540466
cvar_0,11,2,19,0.4957070052623749,0.8818368911743164,0.23525644838809967
cvar_0,11,2,5,0.4418237805366516,0.8692049980163574,0.2200687676668167
cvar_0,11,2,3,0.4237983822822571,0.8589562773704529,0.22194594144821167
cvar_0,11,2,14,0.42027440667152405,0.9204100966453552,0.16601932048797607
cvar_0,11,2,9,0.401915967464447,0.8266622424125671,0.23934204876422882
cvar_0,11,2,4,0.427663117647171,0.8688226342201233,0.2153126746416092
cvar_0,11,3,2,0.380789577960968,0.8859260678291321,0.17880316078662872
cvar_0,11,3,17,0.4270287752151489,0.8518883585929871,0.22365064918994904
cvar_0,11,3,25,0.4667305648326874,0.8907267451286316,0.2180834412574768
cvar_0,11,3,22,0.46996212005615234,0.8402422666549683,0.2565430700778961
cvar_0,11,3,20,0.48414868116378784,0.8821527361869812,0.23626910150051117
cvar_0,11,3,1,0.3956798315048218,0.8157880306243896,0.23273877799510956
cvar_0,11,3,19,0.4281032979488373,0.8286929726600647,0.2398388832807541
cvar_0,11,3,12,0.3941290080547333,0.8928303718566895,0.17801223695278168
cvar_0,11,3,14,0.3668411672115326,0.8556932210922241,0.1966431587934494
cvar_0,11,3,27,0.39915674924850464,0.8592068552970886,0.20542852580547333
cvar_0,11,4,23,0.3786630630493164,0.8195569515228271,0.2171482890844345
cvar_0,11,4,19,0.4114648401737213,0.8026111125946045,0.24569663405418396
cvar_0,11,4,20,0.4212357699871063,0.8535985350608826,0.22314782440662384
cvar_0,11,4,5,0.35227611660957336,0.7848796248435974,0.2223942130804062
cvar_0,11,4,28,0.4358360171318054,0.8073451519012451,0.25926631689071655
