method,n,final_loss_mean,final_loss_std,final_accuracy_mean,final_accuracy_std,final_worst_client_accuracy_mean,final_worst_client_accuracy_std,total_comm_until_stop_mean,total_comm_until_stop_std,stopped_round_mean,stopped_round_std
fedavg_default,10,0.08410698606865481,0.009160399431658134,0.9697082249323528,0.004035320642414963,0.8912479877471924,0.017209095558432426,1459501184.0,177646629.12058365,226.4,27.556810007288174
cvar_0,10,0.08447711740775657,0.00869015742891359,0.9695492551724116,0.004725650852578422,0.8839218020439148,0.03320550059142054,1440161504.0,176053915.65889272,223.4,27.30974592013302
cvar_0.5,10,0.08603426357304365,0.01475846552969779,0.9701229937871296,0.004894774778613834,0.8740041434764863,0.038471560239946946,1458856528.0,296075029.244399,226.3,45.92760002922475
cvar_0.75,10,0.09428243976319209,0.03850966050505469,0.967478945851326,0.011497054883644902,0.8739441156387329,0.04329352532313234,1489800016.0,271069990.9015901,231.1,42.048781195178535
cvar_0.9,10,0.08216995305905585,0.011273389060185436,0.9706693685054779,0.00436713729570117,0.8763839364051819,0.04583141039146405,1557488896.0,405390165.63911164,241.6,62.88472699224263
cvar_0.95,10,0.08176179291273002,0.011061569442539429,0.9708151392141977,0.004190632946304201,0.8788530707359314,0.0410874215082286,1557488896.0,405390165.63911164,241.6,62.88472699224263
centralized,10,0.06211218518035214,0.005889276897390581,0.9847031724452974,0.0020260919782896956,0.940667200088501,0.009812556322255795,0.0,0.0,56.4,3.921450978627398
local_only,1,0.04100626725703478,0.0,0.9878011961778005,0.0,0.9444444179534912,0.0,0.0,0.0,50.0,0.0
grid_best_validated,10,0.08962470696753978,0.009678279855826357,0.9725803562005362,0.0037496120719789413,0.8826504230499268,0.04866165923077557,1562001488.0,363010596.14667207,242.3,56.31074497820109
ga_best_validated,10,0.11779691132328782,0.03319336903756218,0.9653745293617249,0.009991535794745047,0.8372886002063751,0.094306243934084,347340652.8,151864438.0284376,134.7,58.893595199780044
