run_type,seed,alpha,round,loss,accuracy,worst_client_accuracy,upload_bytes,download_bytes,total_comm_bytes,selected_clients,best_loss_so_far,best_round,rounds_since_improvement,stopped_early
cvar_0,7,0,1,1.5516001025835673,0.4164112369219462,0.2716049253940582,3223280,3223280,6446560,10 4 12 20 1 2 17 3 11 18,1.5516001025835673,1,0,False
cvar_0,7,0,2,1.1991858283678691,0.6585876007874807,0.4691357910633087,3223280,3223280,6446560,1 16 6 29 2 13 24 25 7 22,1.1991858283678691,2,0,False
cvar_0,7,0,3,0.9445192853609721,0.7365048110485077,0.5432098507881165,3223280,3223280,6446560,17 13 1 26 18 3 7 20 22 25,0.9445192853609721,3,0,False
cvar_0,7,0,4,0.759005876382192,0.7471103310585022,0.5922330021858215,3223280,3223280,6446560,1 18 28 12 29 7 25 17 4 9,0.759005876382192,4,0,False
cvar_0,7,0,5,0.6085121899843215,0.8148211220900218,0.5802469253540039,3223280,3223280,6446560,13 4 17 3 18 9 27 21 5 26,0.6085121899843215,5,0,False
cvar_0,7,0,6,0.4989807407061259,0.8566232204437256,0.6893203854560852,3223280,3223280,6446560,18 29 20 6 11 3 17 22 2 28,0.4989807407061259,6,0,False
cvar_0,7,0,7,0.4349171072244644,0.8670117100079854,0.6296296119689941,3223280,3223280,6446560,1 19 6 15 21 17 13 10 14 18,0.4349171072244644,7,0,False
cvar_0,7,0,8,0.3958023463686307,0.8607223649819692,0.5802469253540039,3223280,3223280,6446560,29 14 11 9 7 5 22 25 2 18,0.3958023463686307,8,0,False
cvar_0,7,0,9,0.35462015072504677,0.8833415726820628,0.6666666865348816,3223280,3223280,6446560,9 16 15 10 23 14 29 19 2 3,0.35462015072504677,9,0,False
cvar_0,7,0,10,0.3334753225247065,0.8842848777770996,0.6296296119689941,3223280,3223280,6446560,16 13 5 24 10 4 15 28 1 2,0.3334753225247065,10,0,False
cvar_0,7,0,11,0.3148109972476959,0.8925783514976502,0.6296296119689941,3223280,3223280,6446560,24 17 18 25 10 26 22 11 19 15,0.3148109972476959,11,0,False
cvar_0,7,0,12,0.29080904722213746,0.8945007403691609,0.6172839403152466,3223280,3223280,6446560,18 25 14 2 26 8 15 22 21 28,0.29080904722213746,12,0,False
cvar_0,7,0,13,0.280284575621287,0.8995400269826254,0.604938268661499,3223280,3223280,6446560,1 23 22 9 20 18 21 14 26 12,0.280284575621287,13,0,False
cvar_0,7,0,14,0.25873949378728867,0.9055579900741577,0.7037037014961243,3223280,3223280,6446560,28 21 11 0 14 27 5 19 3 15,0.25873949378728867,14,0,False
cvar_0,7,0,15,0.25893783817688626,0.9053122957547506,0.654321014881134,3223280,3223280,6446560,1 6 24 9 4 23 7 12 22 15,0.25873949378728867,14,1,False
cvar_0,7,0,16,0.23974881817897162,0.9163610021273295,0.7283950448036194,3223280,3223280,6446560,2 5 14 12 17 8 4 13 25 24,0.23974881817897162,16,0,False
cvar_0,7,0,17,0.23209587534268697,0.9171664158503214,0.6913580298423767,3223280,3223280,6446560,22 13 11 21 12 7 4 2 5 23,0.23209587534268697,17,0,False
