client_id,test_samples,train_samples,accuracy,error_rate
1,87,260,0.9770114942528736,0.022988505747126436
2,76,226,0.9473684210526315,0.05263157894736842
3,86,255,0.9651162790697675,0.03488372093023256
4,80,237,0.9375,0.0625
5,76,226,0.9210526315789473,0.07894736842105263
6,82,243,0.9024390243902439,0.0975609756097561
7,77,231,0.961038961038961,0.03896103896103896
8,71,210,0.8450704225352113,0.15492957746478872
9,72,216,0.8333333333333334,0.16666666666666666
10,74,220,0.7837837837837838,0.21621621621621623
11,79,237,0.8481012658227848,0.1518987341772152
12,80,240,0.9375,0.0625
13,82,245,0.9390243902439024,0.06097560975609756
14,81,242,0.5925925925925926,0.4074074074074074
15,82,246,0.9878048780487805,0.012195121951219513
16,92,274,0.7282608695652174,0.2717391304347826
17,92,276,0.8695652173913043,0.13043478260869565
18,91,273,0.8681318681318682,0.13186813186813187
19,90,270,0.9777777777777777,0.022222222222222223
20,89,265,0.898876404494382,0.10112359550561797
21,102,306,0.8823529411764706,0.11764705882352941
22,81,240,0.9629629629629629,0.037037037037037035
23,93,279,0.956989247311828,0.043010752688172046
24,96,285,0.9583333333333334,0.041666666666666664
25,103,306,0.7378640776699029,0.2621359223300971
26,98,294,0.9897959183673469,0.01020408163265306
27,94,282,0.9787234042553191,0.02127659574468085
28,96,286,0.8645833333333334,0.13541666666666666
29,86,258,0.9418604651162791,0.05813953488372093
30,96,287,0.8333333333333334,0.16666666666666666
